Hesap Kodu,Hesap Adi,Borc,Alacak,Borc Bakiye,Alacak Bakiye
100,Kasa,250000,69452,180548,0
102,Bankalar,15420000,12104465,3315535,0
108,Diger Hazir Degerler,50000,25000,25000,0
120,Alicilar,8500000,6250000,2250000,0
121,Alacak Senetleri,1200000,800000,400000,0
131,Ortaklardan Alacaklar,500000,150000,350000,0
150,Ilk Madde ve Malzeme,2800000,2100000,700000,0
153,Ticari Mallar,5600000,4200000,1400000,0
157,Diger Stoklar,180000,80000,100000,0
191,Indirilecek KDV,2850000,2400000,450000,0
250,Tesis Makine ve Cihazlar,850000,0,850000,0
253,Tasitlar,420000,0,420000,0
254,Demirbaslar,185000,0,185000,0
257,Birikmis Amortismanlar,0,425000,0,425000
320,Saticilar,6200000,7850000,0,1650000
321,Borc Senetleri,400000,650000,0,250000
331,Ortaklara Borclar,100000,280000,0,180000
335,Personele Borclar,850000,920000,0,70000
360,Odenecek Vergi ve Fonlar,1250000,1520000,0,270000
361,Odenecek Sosyal Guvenlik Kesintileri,380000,465000,0,85000
391,Hesaplanan KDV,0,2650000,0,2650000
400,Sermaye,0,1000000,0,1000000
520,Gecmis Yillar Karlari,0,850000,0,850000
540,Yasal Yedekler,0,125000,0,125000
590,Donem Net Kari,0,0,0,0
600,Yurt Ici Satislar,0,14250000,0,14250000
610,Yurt Disi Satislar,0,1850000,0,1850000
620,Satistan Iadeler,320000,0,320000,0
621,Satis Iskontolari,180000,0,180000,0
623,Satilan Ticari Mallar Maliyeti,9800000,0,9800000,0
631,Pazarlama Satis Dagitim Giderleri,420000,0,420000,0
632,Genel Yonetim Giderleri,1150000,0,1150000,0
642,Faiz Gelirleri,0,85000,0,85000
646,Kambiyo Karlari,0,125000,0,125000
654,Karsilik Giderleri,45000,0,45000,0
656,Kambiyo Zararlari,95000,0,95000,0
660,Kisa Vadeli Borclanma Giderleri,180000,0,180000,0
679,Diger Olagandisi Gelir ve Karlar,0,42000,0,42000
689,Diger Olagandisi Gider ve Zararlar,38000,0,38000,0
770,Genel Yonetim Giderleri Yansitma,0,1150000,0,1150000
TOPLAM,,,,,
