Tarih;Açýklama;Ýþlem Tutarý;Güncel Bakiye
01.09.2025;1801374784X010925050625TAKSÝTSATIÞ;999,50;1.536.558,49
01.09.2025;1801374784X010925050625ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT;-11,49;1.536.547,00
01.09.2025;1801374784X010925050625ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT (BSMV);-0,57;1.536.546,43
01.09.2025;1801374784X010925310725PEÞÝNSATIÞ;5768,91;1.542.315,34
01.09.2025;1801374784X010925310725PEÞÝNSATIÞKATKIPAYI;-28,85;1.542.286,49
01.09.2025;1801374784X010925220725PEÞÝNSATIÞ;42775,05;1.585.061,54
01.09.2025;1801374784X010925050725TAKSÝTSATIÞ;2924,75;1.587.986,29
01.09.2025;1801374784X010925050725ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT;-33,63;1.587.952,66
01.09.2025;1801374784X010925050725ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT (BSMV);-1,68;1.587.950,98
01.09.2025;1801374784X010925310825PEÞÝNSATIÞ;20905,85;1.608.856,83
01.09.2025;1801374784X010925310825ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN;-395,09;1.608.461,74
01.09.2025;1801374784X010925310825ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN (BSMV);-19,77;1.608.441,97
02.09.2025;1801374784X020925010925PEÞÝNSATIÞ;71830,65;1.680.272,62
02.09.2025;1801374784X020925010925ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN;-1357,54;1.678.915,08
02.09.2025;1801374784X020925010925ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN (BSMV);-67,87;1.678.847,21
02.09.2025;1801374784X020925050825TAKSÝTSATIÞ;2759,49;1.681.606,70
02.09.2025;1801374784X020925050825TAKSÝTLÝSATIÞKATKIPAYI;-82,78;1.681.523,92
02.09.2025;1801374784X020925050825ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT;-31,73;1.681.492,19
02.09.2025;1801374784X020925050825ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT (BSMV);-1,59;1.681.490,60
02.09.2025;1801374784X020925010825PEÞÝNSATIÞ;1180,40;1.682.671,00
02.09.2025;1801374784X020925010825PEÞÝNSATIÞKATKIPAYI;-5,90;1.682.665,10
02.09.2025;1801374784X020925060725TAKSÝTSATIÞ;2832,66;1.685.497,76
02.09.2025;1801374784X020925060725ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT;-32,57;1.685.465,19
02.09.2025;1801374784X020925060725ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT (BSMV);-1,63;1.685.463,56
02.09.2025;1801374784X020925230725PEÞÝNSATIÞ;29830,30;1.715.293,86
03.09.2025;1801374784X030925240725PEÞÝNSATIÞ;35555,80;1.750.849,66
03.09.2025;1801374784X030925020825PEÞÝNSATIÞ;1140,45;1.751.990,11
03.09.2025;1801374784X030925020825PEÞÝNSATIÞKATKIPAYI;-5,70;1.751.984,41
03.09.2025;1801374784X030925020925PEÞÝNSATIÞ;37237,50;1.789.221,91
03.09.2025;1801374784X030925020925ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN;-703,75;1.788.518,16
03.09.2025;1801374784X030925020925ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN (BSMV);-35,19;1.788.482,97
03.09.2025;1801374784X030925070725TAKSÝTSATIÞ;4594,10;1.793.077,07
03.09.2025;1801374784X030925070725ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT;-52,82;1.793.024,25
03.09.2025;1801374784X030925070725ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT (BSMV);-2,64;1.793.021,61
04.09.2025;1801374784X040925030925PEÞÝNSATIÞ;61702,51;1.854.724,12
04.09.2025;1801374784X040925030925ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN;-1166,12;1.853.558,00
04.09.2025;1801374784X040925030925ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN (BSMV);-58,32;1.853.499,68
04.09.2025;1801374784X040925070825TAKSÝTSATIÞ;1768,30;1.855.267,98
04.09.2025;1801374784X040925070825TAKSÝTLÝSATIÞKATKIPAYI;-53,05;1.855.214,93
04.09.2025;1801374784X040925070825ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT;-20,33;1.855.194,60
04.09.2025;1801374784X040925070825ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT (BSMV);-1,02;1.855.193,58
04.09.2025;1801374784X040925030825PEÞÝNSATIÞ;1499,50;1.856.693,08
04.09.2025;1801374784X040925030825PEÞÝNSATIÞKATKIPAYI;-7,50;1.856.685,58
04.09.2025;1801374784X040925080725TAKSÝTSATIÞ;1432,96;1.858.118,54
04.09.2025;1801374784X040925080725ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT;-16,47;1.858.102,07
04.09.2025;1801374784X040925080725ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT (BSMV);-0,82;1.858.101,25
05.09.2025;1801374784X050925090625TAKSÝTSATIÞ;1112,26;1.859.213,51
05.09.2025;1801374784X050925090625ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT;-12,79;1.859.200,72
05.09.2025;1801374784X050925090625ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT (BSMV);-0,64;1.859.200,08
05.09.2025;1801374784X050925040925PEÞÝNSATIÞ;39242,39;1.898.442,47
05.09.2025;1801374784X050925040925ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN;-741,64;1.897.700,83
05.09.2025;1801374784X050925040925ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN (BSMV);-37,09;1.897.663,74
05.09.2025;1801374784X050925260725PEÞÝNSATIÞ;69352,10;1.967.015,84
06.09.2025;1801374784X060925050925PEÞÝNSATIÞ;14188,30;1.981.204,14
