Tarih;Açýklama;Ýþlem Tutarý;Güncel Bakiye
01.04.2025;1801374784X010425280225PEÞÝNSATIÞ;54,90;60.731,33
01.04.2025;1801374784X010425280225PEÞÝNSATIÞKATKIPAYI;-0,28;60.731,05
01.04.2025;1801374784X010425030125TAKSÝTSATIÞ;359,98;61.091,03
01.04.2025;1801374784X010425030125ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT;-4,13;61.086,90
01.04.2025;1801374784X010425030125ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT (BSMV);-0,21;61.086,69
01.04.2025;1801374784X010425190225PEÞÝNSATIÞ;15431,57;76.518,26
02.04.2025;1801374784X020425010325PEÞÝNSATIÞ;1663,60;78.181,86
02.04.2025;1801374784X020425010325PEÞÝNSATIÞKATKIPAYI;-8,32;78.173,54
02.04.2025;1801374784X020425200225PEÞÝNSATIÞ;22036,27;100.209,81
03.04.2025;1801374784X030425020325PEÞÝNSATIÞ;880,30;101.090,11
03.04.2025;1801374784X030425020325PEÞÝNSATIÞKATKIPAYI;-4,40;101.085,71
03.04.2025;1801374784X030425210225PEÞÝNSATIÞ;18445,50;119.531,21
04.04.2025;1801374784X040425030325PEÞÝNSATIÞ;650,35;120.181,56
04.04.2025;1801374784X040425030325PEÞÝNSATIÞKATKIPAYI;-3,25;120.178,31
04.04.2025;1801374784X040425030425PEÞÝNSATIÞ;5565,60;125.743,91
04.04.2025;1801374784X040425030425ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN;-105,18;125.638,73
04.04.2025;1801374784X040425030425ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN (BSMV);-5,26;125.633,47
04.04.2025;1801374784X040425220225PEÞÝNSATIÞ;45480,72;171.114,19
04.04.2025;GÝDEN EFT - ALANYA ÖZKAN KIRTASÝYE MATBAACILIK YAYINCILIK ÝNÞAAT TÝCARET LÝMÝTED ÞÝRKETÝ - Halkbank Hesabýna;-160000,00;11.114,19
04.04.2025;ELEKTRONÝK FON TRANSFERÝ (EFT) ÜCRETÝ-EFT/ALANYA ÖZKAN KI/Halkbank Hesab;-12,19;11.102,00
04.04.2025;BSMV ELEKTRONÝK FON TRANSFERÝ (EFT) ÜCRETÝ-EFT/ALANYA ÖZKAN KI/Halkbank Hesab;-0,61;11.101,39
05.04.2025;1801374784X050425040325PEÞÝNSATIÞ;3517,30;14.618,69
05.04.2025;1801374784X050425040325PEÞÝNSATIÞKATKIPAYI;-17,59;14.601,10
05.04.2025;1801374784X050425040425PEÞÝNSATIÞ;5304,35;19.905,45
05.04.2025;1801374784X050425040425ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN;-100,23;19.805,22
05.04.2025;1801374784X050425040425ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN (BSMV);-5,02;19.800,20
05.04.2025;1801374784X050425230225PEÞÝNSATIÞ;48149,28;67.949,48
06.04.2025;1801374784X060425070225TAKSÝTSATIÞ;1046,57;68.996,05
06.04.2025;1801374784X060425070225ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT;-12,03;68.984,02
06.04.2025;1801374784X060425070225ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT (BSMV);-0,60;68.983,42
06.04.2025;1801374784X060425240225PEÞÝNSATIÞ;77705,54;146.688,96
07.04.2025;1801374784X070425060425PEÞÝNSATIÞ;129,95;146.818,91
07.04.2025;1801374784X070425060425ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN;-2,45;146.816,46
07.04.2025;1801374784X070425060425ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN (BSMV);-0,12;146.816,34
07.04.2025;1801374784X070425060325PEÞÝNSATIÞ;3387,95;150.204,29
07.04.2025;1801374784X070425060325PEÞÝNSATIÞKATKIPAYI;-16,94;150.187,35
07.04.2025;1801374784X070425250225PEÞÝNSATIÞ;7870,34;158.057,69
08.04.2025;1801374784X080425070325PEÞÝNSATIÞ;504,50;158.562,19
08.04.2025;1801374784X080425070325PEÞÝNSATIÞKATKIPAYI;-2,53;158.559,66
08.04.2025;1801374784X080425260225PEÞÝNSATIÞ;11523,10;170.082,76
09.04.2025;1801374784X090425080325PEÞÝNSATIÞ;3774,90;173.857,66
09.04.2025;1801374784X090425080325PEÞÝNSATIÞKATKIPAYI;-18,88;173.838,78
09.04.2025;1801374784X090425270225PEÞÝNSATIÞ;10742,35;184.581,13
10.04.2025;1801374784X100425090325PEÞÝNSATIÞ;360,40;184.941,53
10.04.2025;1801374784X100425090325PEÞÝNSATIÞKATKIPAYI;-1,80;184.939,73
10.04.2025;1801374784X100425280225PEÞÝNSATIÞ;18124,00;203.063,73
10.04.2025;GÝDEN FAST - ENTEGRA BÝLÝÞÝM SANAYÝ VE TÝCARET A.Þ - Fenerium internet erisim faturasi odemesi fatura no 164-86;-929,50;202.134,23
10.04.2025;ELEKTRONÝK FON TRANSFERÝ (EFT) ÜCRETÝ-FAST/ENTEGRA BÝLÝÞÝM/Fenerium inte;-6,09;202.128,14
10.04.2025;BSMV ELEKTRONÝK FON TRANSFERÝ (EFT) ÜCRETÝ-FAST/ENTEGRA BÝLÝÞÝM/Fenerium inte;-0,30;202.127,84
11.04.2025;1801374784X110425100325PEÞÝNSATIÞ;3375,95;205.503,79
11.04.2025;1801374784X110425100325PEÞÝNSATIÞKATKIPAYI;-16,88;205.486,91
11.04.2025;1801374784X110425100425PEÞÝNSATIÞ;7138,75;212.625,66
11.04.2025;1801374784X110425100425ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN;-134,91;212.490,75
11.04.2025;1801374784X110425100425ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN (BSMV);-6,74;212.484,01
11.04.2025;1801374784X110425010325PEÞÝNSATIÞ;9203,40;221.687,41
12.04.2025;1801374784X120425130225TAKSÝTSATIÞ;1499,75;223.187,16
12.04.2025;1801374784X120425130225ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT;-17,24;223.169,92
12.04.2025;1801374784X120425130225ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT (BSMV);-0,86;223.169,06
12.04.2025;1801374784X120425020325PEÞÝNSATIÞ;15603,20;238.772,26
13.04.2025;1801374784X130425120325PEÞÝNSATIÞ;450,40;239.222,66
13.04.2025;1801374784X130425120325PEÞÝNSATIÞKATKIPAYI;-2,25;239.220,41
13.04.2025;1801374784X130425140225TAKSÝTSATIÞ;1078,50;240.298,91
13.04.2025;1801374784X130425140225ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT;-12,40;240.286,51
13.04.2025;1801374784X130425140225ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT (BSMV);-0,62;240.285,89
13.04.2025;1801374784X130425120425PEÞÝNSATIÞ;2249,50;242.535,39
13.04.2025;1801374784X130425120425ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN;-42,51;242.492,88
13.04.2025;1801374784X130425120425ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN (BSMV);-2,13;242.490,75
13.04.2025;1801374784X130425030325PEÞÝNSATIÞ;16340,60;258.831,35
14.04.2025;1801374784X140425130325PEÞÝNSATIÞ;599,95;259.431,30
14.04.2025;1801374784X140425130325PEÞÝNSATIÞKATKIPAYI;-3,00;259.428,30
14.04.2025;1801374784X140425040325PEÞÝNSATIÞ;3215,50;262.643,80
14.04.2025;GÝDEN EFT - Alanya ÖZKAN KIRTASÝYE MAT.YAY.ÝNÞ.TÝC.LTD.ÞTÝ - Virman;-150000,00;112.643,80
14.04.2025;ELEKTRONÝK FON TRANSFERÝ (EFT) ÜCRETÝ-EFT/Alanya ÖZKAN KI/Virman;-12,19;112.631,61
14.04.2025;BSMV ELEKTRONÝK FON TRANSFERÝ (EFT) ÜCRETÝ-EFT/Alanya ÖZKAN KI/Virman;-0,61;112.631,00
15.04.2025;1801374784X150425140425PEÞÝNSATIÞ;350,45;112.981,45
15.04.2025;1801374784X150425140425ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN;-6,62;112.974,83
15.04.2025;1801374784X150425140425ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN (BSMV);-0,33;112.974,50
15.04.2025;1801374784X150425180325TAKSÝTSATIÞ;608,45;113.582,95
15.04.2025;1801374784X150425180325TAKSÝTLÝSATIÞKATKIPAYI;-18,25;113.564,70
15.04.2025;1801374784X150425180325ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT;-6,99;113.557,71
