Tarih;Açýklama;Ýþlem Tutarý;Güncel Bakiye
01.06.2025;1801374784X010625040525TAKSÝTSATIÞ;766,67;18.115,28
01.06.2025;1801374784X010625040525TAKSÝTLÝSATIÞKATKIPAYI;-23,00;18.092,28
01.06.2025;1801374784X010625040525ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT;-8,81;18.083,47
01.06.2025;1801374784X010625040525ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT (BSMV);-0,44;18.083,03
01.06.2025;1801374784X010625310525PEÞÝNSATIÞ;999,95;19.082,98
01.06.2025;1801374784X010625310525ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN;-18,89;19.064,09
01.06.2025;1801374784X010625310525ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN (BSMV);-0,94;19.063,15
01.06.2025;1801374784X010625210425PEÞÝNSATIÞ;5365,70;24.428,85
01.06.2025;1801374784X010625300425PEÞÝNSATIÞ;7221,07;31.649,92
01.06.2025;1801374784X010625300425PEÞÝNSATIÞKATKIPAYI;-36,11;31.613,81
02.06.2025;1801374784X020625010525PEÞÝNSATIÞ;2040,15;33.653,96
02.06.2025;1801374784X020625010525PEÞÝNSATIÞKATKIPAYI;-10,21;33.643,75
02.06.2025;1801374784X020625220425PEÞÝNSATIÞ;6505,15;40.148,90
03.06.2025;1801374784X030625060525TAKSÝTSATIÞ;285,00;40.433,90
03.06.2025;1801374784X030625060525TAKSÝTLÝSATIÞKATKIPAYI;-5,70;40.428,20
03.06.2025;1801374784X030625060525ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT;-3,27;40.424,93
03.06.2025;1801374784X030625060525ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT (BSMV);-0,16;40.424,77
03.06.2025;1801374784X030625020525PEÞÝNSATIÞ;675,45;41.100,22
03.06.2025;1801374784X030625020525PEÞÝNSATIÞKATKIPAYI;-3,38;41.096,84
03.06.2025;1801374784X030625230425PEÞÝNSATIÞ;3836,10;44.932,94
03.06.2025;GELEN FAST - ÝSMET ÞAHAN -;1510,00;46.442,94
04.06.2025;1801374784X040625070425TAKSÝTSATIÞ;1372,65;47.815,59
04.06.2025;1801374784X040625070425ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT;-15,78;47.799,81
04.06.2025;1801374784X040625070425ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT (BSMV);-0,79;47.799,02
04.06.2025;1801374784X040625030525PEÞÝNSATIÞ;2195,50;49.994,52
04.06.2025;1801374784X040625030525PEÞÝNSATIÞKATKIPAYI;-10,98;49.983,54
04.06.2025;1801374784X040625240425PEÞÝNSATIÞ;8183,47;58.167,01
04.06.2025;1801374784X040625030625PEÞÝNSATIÞ;13099,84;71.266,85
04.06.2025;1801374784X040625030625ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN;-247,55;71.019,30
04.06.2025;1801374784X040625030625ÜYE ÝÞYERÝ ÜCRETÝ - PEÞÝN (BSMV);-12,37;71.006,93
05.06.2025;1801374784X050625040525PEÞÝNSATIÞ;610,50;71.617,43
05.06.2025;1801374784X050625040525PEÞÝNSATIÞKATKIPAYI;-3,06;71.614,37
05.06.2025;1801374784X050625080525TAKSÝTSATIÞ;855,00;72.469,37
05.06.2025;1801374784X050625080525TAKSÝTLÝSATIÞKATKIPAYI;-17,11;72.452,26
05.06.2025;1801374784X050625080525ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT;-9,82;72.442,44
05.06.2025;1801374784X050625080525ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT (BSMV);-0,49;72.441,95
05.06.2025;1801374784X050625070225TAKSÝTSATIÞ;1046,57;73.488,52
05.06.2025;1801374784X050625070225ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT;-12,03;73.476,49
05.06.2025;1801374784X050625070225ÜYE ÝÞYERÝ ÜCRETÝ - TAKSÝT (BSMV);-0,60;73.475,89
05.06.2025;1801374784X050625250425PEÞÝNSATIÞ;4135,95;77.611,84
06.06.2025;1801374784X060625050525PEÞÝNSATIÞ;1199,90;78.811,74
06.06.2025;1801374784X060625050525PEÞÝNSATIÞKATKIPAYI;-6,00;78.805,74
