Tarih;Açýklama;Tutar;Bakiye
30.09.2025;001116426 YI-DB AKPOS PES ODE 20250821;2.000,00;542.474,09
30.09.2025;001116426 YI-EC AKPOS PES ODE 20250821;21.305,00;540.474,09
30.09.2025;001116426 YI-TY AKPOS PES ODE 20250821;10.347,29;519.169,09
30.09.2025;001116426 YI-TD AKPOS PES ODE 20250821;140,00;508.821,80
30.09.2025;001116426 YI-VS AKPOS PES ODE 20250821;29.771,25;508.681,80
29.09.2025;001116426 YI-DB AKPOS PES ODE 20250820;1.420,00;478.910,55
29.09.2025;001116426 YI-VS AKPOS PES ODE 20250820;36.450,00;477.490,55
29.09.2025;001116426 YI-TD AKPOS PES ODE 20250820;500,00;441.040,55
29.09.2025;001116426 YI-EC AKPOS PES ODE 20250820;3.715,00;440.540,55
29.09.2025;001116426 YD-DB AKPOS PES ODE 20250830;330,00;436.825,55
28.09.2025;001116426 FAST POS ODEME-YI KS:28.05 TL;721,95;436.495,55
28.09.2025;001116426 YI-VS AKPOS PES ODE 20250819;11.473,00;435.773,60
28.09.2025;001116426 YI-EC AKPOS PES ODE 20250819;2.253,00;424.300,60
28.09.2025;001116426 YI-TY AKPOS PES ODE 20250819;16.225,00;422.047,60
28.09.2025;001116426 AK-DB AKPOS PES ODE 20250819;180,00;405.822,60
26.09.2025;001116426 YI-TD AKPOS PES ODE 20250817;246,50;405.642,60
26.09.2025;001116426 YI-DB AKPOS PES ODE 20250817;680,00;405.396,10
26.09.2025;001116426 YI-VS AKPOS PES ODE 20250817;1.950,00;404.716,10
26.09.2025;001116426 YI-EC AKPOS PES ODE 20250817;57.040,00;402.766,10
25.09.2025;001116426 AK-DB AKPOS PES ODE 20250816;1.433,00;345.726,10
25.09.2025;001116426 YI-VS AKPOS PES ODE 20250816;18.486,00;344.293,10
25.09.2025;001116426 AX-VS AKPOS PES ODE 20250816;220,00;325.807,10
25.09.2025;001116426 YI-EC AKPOS PES ODE 20250816;10.809,00;325.587,10
24.09.2025;001116426 YI-VS AKPOS PES ODE 20250815;2.850,00;314.778,10
24.09.2025;001116426 YI-TY AKPOS PES ODE 20250815;500,00;311.928,10
24.09.2025;001116426 YI-DB AKPOS PES ODE 20250815;4.505,00;311.428,10
24.09.2025;001116426 YI-EC AKPOS PES ODE 20250815;2.425,00;306.923,10
23.09.2025;001116426 FAST POS ODEME-YI KS:9.72 TL;250,28;304.498,10
23.09.2025;001116426 YI-EC AKPOS PES ODE 20250814;1.558,00;304.247,82
23.09.2025;001116426 YI-VS AKPOS PES ODE 20250814;3.188,00;302.689,82
23.09.2025;001116426 YI-DB AKPOS PES ODE 20250814;330,00;299.501,82
22.09.2025;001116426 YI-TY AKPOS PES ODE 20250813;500,00;299.171,82
22.09.2025;001116426 YI-VS AKPOS PES ODE 20250813;3.700,00;298.671,82
22.09.2025;001116426 YI-EC AKPOS PES ODE 20250813;850,00;294.971,82
21.09.2025;001116426 YI-DB AKPOS PES ODE 20250812;450,00;294.121,82
21.09.2025;001116426 YI-EC AKPOS PES ODE 20250812;4.570,00;293.671,82
21.09.2025;001116426 YI-VS AKPOS PES ODE 20250812;1.890,00;289.101,82
21.09.2025;001116426 AK-DB AKPOS PES ODE 20250812;340,00;287.211,82
19.09.2025;001116426 YI-VS AKPOS PES ODE 20250810;550,00;286.871,82
19.09.2025;001116426 YI-EC AKPOS PES ODE 20250810;450,00;286.321,82
19.09.2025;001116426 YI-TY AKPOS PES ODE 20250810;250,00;285.871,82
19.09.2025;001116426 YI-DB AKPOS PES ODE 20250810;1.078,00;285.621,82
19.09.2025;001116426 YD-VS AKPOS PES ODE 20250820;30,00;284.543,82
18.09.2025;001116426 YI-TY AKPOS PES ODE 20250809;13.700,48;284.513,82
18.09.2025;001116426 YI-VS AKPOS PES ODE 20250809;2.000,00;270.813,34
18.09.2025;001116426 YI-DB AKPOS PES ODE 20250809;450,00;268.813,34
18.09.2025;001116426 YI-EC AKPOS PES ODE 20250809;625,00;268.363,34
18.09.2025;001116426 YD-VS AKPOS PES ODE 20250819;190,00;267.738,34
17.09.2025;001116426 YI-EC AKPOS PES ODE 20250808;2.134,00;267.548,34
17.09.2025;001116426 YI-VS AKPOS PES ODE 20250808;6.100,00;265.414,34
17.09.2025;001116426 YI-DB AKPOS PES ODE 20250808;1.407,00;259.314,34
17.09.2025;001116426 AX-MC AKPOS PES ODE 20250808;1.189,00;257.907,34
17.09.2025;001116426 YI-TD AKPOS PES ODE 20250808;270,00;256.718,34
16.09.2025;001116426 YI-DB AKPOS PES ODE 20250807;580,00;256.448,34
16.09.2025;001116426 YD-VS AKPOS PES ODE 20250817;155,00;255.868,34
16.09.2025;001116426 YI-EC AKPOS PES ODE 20250807;3.930,00;255.713,34
16.09.2025;001116426 YI-TY AKPOS PES ODE 20250807;10.848,00;251.783,34
16.09.2025;001116426 AK-DB AKPOS PES ODE 20250807;560,00;240.935,34
15.09.2025;001116426 YI-VS AKPOS PES ODE 20250806;715,00;240.375,34
15.09.2025;001116426 YI-DB AKPOS PES ODE 20250806;900,00;239.660,34
15.09.2025;001116426 YI-TD AKPOS PES ODE 20250806;300,00;238.760,34
15.09.2025;001116426 YI-EC AKPOS PES ODE 20250806;2.000,00;238.460,34
15.09.2025;001116426 YD-DB AKPOS PES ODE 20250816;400,00;236.460,34
14.09.2025;001116426 YI-EC AKPOS PES ODE 20250805;28.111,24;236.060,34
14.09.2025;001116426 YI-TD AKPOS PES ODE 20250805;570,00;207.949,10
14.09.2025;001116426 YI-TY AKPOS PES ODE 20250805;11.894,68;207.379,10
14.09.2025;001116426 AX-MC AKPOS PES ODE 20250805;30,00;195.484,42
14.09.2025;001116426 YI-VS AKPOS PES ODE 20250805;2.300,00;195.454,42
14.09.2025;001116426 YI-DB AKPOS PES ODE 20250805;1.005,00;193.154,42
12.09.2025;001116426 YI-DB AKPOS PES ODE 20250803;2.146,00;192.149,42
12.09.2025;001116426 YI-EC AKPOS PES ODE 20250803;50.330,00;190.003,42
12.09.2025;001116426 YI-TD AKPOS PES ODE 20250803;330,00;139.673,42
12.09.2025;001116426 YI-VS AKPOS PES ODE 20250803;600,00;139.343,42
11.09.2025;001116426 FAST POS ODEME-YI KS:1.12 TL;28,88;138.743,42
11.09.2025;777/KÝÞ-HAV.FENERBAHÇE SPOR ÜRN. SAN. VE TÝC. ANONÝM ÞTÝ.- FENERBAHÇE SPOR ÜR.AÞ. CARÝ H;-1.000.000,00;138.714,54
11.09.2025;001116426 YD-VS AKPOS PES ODE 20250812;400,00;1.138.714,54
11.09.2025;001116426 YI-EC AKPOS PES ODE 20250802;3.375,00;1.138.314,54
11.09.2025;001116426 YI-TD AKPOS PES ODE 20250802;200,00;1.134.939,54
11.09.2025;001116426 YI-DB AKPOS PES ODE 20250802;1.915,00;1.134.739,54
10.09.2025;001116426 AX-VS AKPOS PES ODE 20250801;8.592,04;1.132.824,54
10.09.2025;001116426 AX-TY AKPOS PES ODE 20250801;500,00;1.124.232,50
10.09.2025;001116426 YI-TD AKPOS PES ODE 20250801;10,00;1.123.732,50
10.09.2025;001116426 YI-TY AKPOS PES ODE 20250801;1.004,00;1.123.722,50
10.09.2025;001116426 YI-EC AKPOS PES ODE 20250801;3.142,20;1.122.718,50
10.09.2025;001116426 YI-VS AKPOS PES ODE 20250801;685,00;1.119.576,30
10.09.2025;001116426 YI-DB AKPOS PES ODE 20250801;1.961,00;1.118.891,30
09.09.2025;001116426 YI-TY AKPOS PES ODE 20250731;385,00;1.116.930,30
09.09.2025;001116426 YI-DB AKPOS PES ODE 20250731;1.185,00;1.116.545,30
09.09.2025;001116426 YI-VS AKPOS PES ODE 20250731;440,00;1.115.360,30
09.09.2025;001116426 YI-TD AKPOS PES ODE 20250731;465,00;1.114.920,30
08.09.2025;001116426 YI-TD AKPOS PES ODE 20250730;50,00;1.114.455,30
08.09.2025;001116426 YI-DB AKPOS PES ODE 20250730;2.040,00;1.114.405,30
08.09.2025;001116426 AK-DB AKPOS PES ODE 20250730;1.100,00;1.112.365,30
08.09.2025;001116426 YI-VS AKPOS PES ODE 20250730;1.680,00;1.111.265,30
08.09.2025;001116426 AX-MC AKPOS PES ODE 20250730;1.600,00;1.109.585,30
08.09.2025;001116426 YI-EC AKPOS PES ODE 20250730;2.825,00;1.107.985,30
07.09.2025;001116426 YI-TY AKPOS PES ODE 20250729;20,00;1.105.160,30
07.09.2025;001116426 AX-MC AKPOS PES ODE 20250729;2.400,00;1.105.140,30
07.09.2025;001116426 YD-EC AKPOS PES ODE 20250808;325,00;1.102.740,30
07.09.2025;001116426 YI-TD AKPOS PES ODE 20250729;992,00;1.102.415,30
07.09.2025;001116426 YI-EC AKPOS PES ODE 20250729;5.300,00;1.101.423,30
07.09.2025;001116426 YI-DB AKPOS PES ODE 20250729;828,00;1.096.123,30
06.09.2025;001116426 FAST POS ODEME-YI KS:10.85 TL;279,15;1.095.295,30
05.09.2025;001116426 YI-VS AKPOS PES ODE 20250727;1.815,00;1.095.016,15
