islem_tarihi,aciklama,tutar,bakiye,hesap_no,banka_adi
31/07/2025,1801374784x310725300725uye_yþyery_ucrety_-_peþyn_(bsmv),-38.24,1182171.02,102.01,ykb
31/07/2025,1801374784x310725300725uye_yþyery_ucrety_-_peþyn,-764.41,1182209.26,102.01,ykb
31/07/2025,1801374784x310725300725peþynsatiþ,40448.55,1182973.67,102.01,ykb
31/07/2025,1801374784x310725030725uye_yþyery_ucrety_-_taksyt_(bsmv),-2.35,1142525.12,102.01,ykb
31/07/2025,1801374784x310725030725uye_yþyery_ucrety_-_taksyt,-46.96,1142527.47,102.01,ykb
31/07/2025,1801374784x310725030725taksytlysatiþkatkipayi,-101.29,1142574.43,102.01,ykb
31/07/2025,1801374784x310725030725taksytsatiþ,4084.25,1142675.72,102.01,ykb
31/07/2025,1801374784x310725200625peþynsatiþ,4498.0,1138591.47,102.01,ykb
31/07/2025,1801374784x310725040525uye_yþyery_ucrety_-_taksyt_(bsmv),-0.44,1134093.47,102.01,ykb
31/07/2025,1801374784x310725040525uye_yþyery_ucrety_-_taksyt,-8.81,1134093.91,102.01,ykb
31/07/2025,1801374784x310725040525taksytsatiþ,766.65,1134102.72,102.01,ykb
30/07/2025,bsmv_pos-1801374784_07/25_belge_ve_bilgilendirme_ucreti-basyly_ekstre,-1.75,1133336.07,102.01,ykb
30/07/2025,pos-1801374784_07/25_belge_ve_bilgilendirme_ucreti-basyly_ekstre,-35.0,1133337.82,102.01,ykb
30/07/2025,1801374784x300725290725uye_yþyery_ucrety_-_peþyn_(bsmv),-31.15,1133372.82,102.01,ykb
30/07/2025,1801374784x300725290725uye_yþyery_ucrety_-_peþyn,-623.02,1133403.97,102.01,ykb
30/07/2025,1801374784x300725290725peþynsatiþ,32965.6,1134026.99,102.01,ykb
30/07/2025,1801374784x300725190625peþynsatiþ,10539.3,1101061.39,102.01,ykb
30/07/2025,1801374784x300725020625uye_yþyery_ucrety_-_taksyt_(bsmv),-2.22,1090522.09,102.01,ykb
30/07/2025,1801374784x300725020625uye_yþyery_ucrety_-_taksyt,-44.3,1090524.31,102.01,ykb
30/07/2025,1801374784x300725020625taksytsatiþ,3853.22,1090568.61,102.01,ykb
30/07/2025,1801374784x300725020725uye_yþyery_ucrety_-_taksyt_(bsmv),-0.81,1086715.39,102.01,ykb
30/07/2025,1801374784x300725020725uye_yþyery_ucrety_-_taksyt,-16.28,1086716.2,102.01,ykb
30/07/2025,1801374784x300725020725taksytlysatiþkatkipayi,-42.5,1086732.48,102.01,ykb
30/07/2025,1801374784x300725020725taksytsatiþ,1416.5,1086774.98,102.01,ykb
29/07/2025,1801374784x290725280725uye_yþyery_ucrety_-_peþyn_(bsmv),-29.34,1085358.48,102.01,ykb
29/07/2025,1801374784x290725280725uye_yþyery_ucrety_-_peþyn,-586.46,1085387.82,102.01,ykb
29/07/2025,1801374784x290725280725peþynsatiþ,31030.5,1085974.28,102.01,ykb
29/07/2025,1801374784x290725180625peþynsatiþ,5245.5,1054943.78,102.01,ykb
29/07/2025,1801374784x290725270625peþynsatiþkatkipayi,-10.03,1049698.28,102.01,ykb
29/07/2025,1801374784x290725270625peþynsatiþ,2005.41,1049708.31,102.01,ykb
28/07/2025,1801374784x280725270725uye_yþyery_ucrety_-_peþyn_(bsmv),-21.85,1047702.9,102.01,ykb
28/07/2025,1801374784x280725270725uye_yþyery_ucrety_-_peþyn,-436.82,1047724.75,102.01,ykb
28/07/2025,1801374784x280725270725peþynsatiþ,23113.7,1048161.57,102.01,ykb
28/07/2025,1801374784x280725170625peþynsatiþ,7830.07,1025047.87,102.01,ykb
28/07/2025,1801374784x280725260625peþynsatiþkatkipayi,-29.54,1017217.8,102.01,ykb
28/07/2025,1801374784x280725260625peþynsatiþ,5905.66,1017247.34,102.01,ykb
27/07/2025,1801374784x270725260725uye_yþyery_ucrety_-_peþyn_(bsmv),-34.25,1011341.68,102.01,ykb
27/07/2025,1801374784x270725260725uye_yþyery_ucrety_-_peþyn,-685.13,1011375.93,102.01,ykb
27/07/2025,1801374784x270725260725peþynsatiþ,36251.2,1012061.06,102.01,ykb
27/07/2025,1801374784x270725160625peþynsatiþ,21358.57,975809.86,102.01,ykb
27/07/2025,1801374784x270725290625uye_yþyery_ucrety_-_taksyt_(bsmv),-1.36,954451.29,102.01,ykb
27/07/2025,1801374784x270725290625uye_yþyery_ucrety_-_taksyt,-27.19,954452.65,102.01,ykb
27/07/2025,1801374784x270725290625taksytlysatiþkatkipayi,-61.2,954479.84,102.01,ykb
27/07/2025,1801374784x270725290625taksytsatiþ,2365.13,954541.04,102.01,ykb
26/07/2025,1801374784x260725150625peþynsatiþ,31955.53,952175.91,102.01,ykb
26/07/2025,1801374784x260725240625peþynsatiþkatkipayi,-16.32,920220.38,102.01,ykb
26/07/2025,1801374784x260725240625peþynsatiþ,3264.75,920236.7,102.01,ykb
25/07/2025,2425181907_telekom,-153.25,916971.95,102.01,ykb
25/07/2025,1801374784x250725140625peþynsatiþ,44062.88,917125.2,102.01,ykb
25/07/2025,1801374784x250725240725uye_yþyery_ucrety_-_peþyn_(bsmv),-11.91,873062.32,102.01,ykb
25/07/2025,1801374784x250725240725uye_yþyery_ucrety_-_peþyn,-238.17,873074.23,102.01,ykb
25/07/2025,1801374784x250725240725peþynsatiþ,12602.35,873312.4,102.01,ykb
25/07/2025,1801374784x250725280425uye_yþyery_ucrety_-_taksyt_(bsmv),-0.88,860710.05,102.01,ykb
25/07/2025,1801374784x250725280425uye_yþyery_ucrety_-_taksyt,-17.6,860710.93,102.01,ykb
25/07/2025,1801374784x250725280425taksytsatiþ,1530.66,860728.53,102.01,ykb
24/07/2025,1801374784x240725230725uye_yþyery_ucrety_-_peþyn_(bsmv),-36.76,859197.87,102.01,ykb
24/07/2025,1801374784x240725230725uye_yþyery_ucrety_-_peþyn,-735.27,859234.63,102.01,ykb
24/07/2025,1801374784x240725230725peþynsatiþ,38904.53,859969.9,102.01,ykb
24/07/2025,1801374784x240725130625peþynsatiþ,13650.05,821065.37,102.01,ykb
24/07/2025,1801374784x240725270525uye_yþyery_ucrety_-_taksyt_(bsmv),-1.53,807415.32,102.01,ykb
24/07/2025,1801374784x240725270525uye_yþyery_ucrety_-_taksyt,-30.59,807416.85,102.01,ykb
24/07/2025,1801374784x240725270525taksytsatiþ,2660.65,807447.44,102.01,ykb
