islem_tarihi,aciklama,tutar,bakiye,hesap_no,banka_adi
30.09.2025,001116426_yi-db_akpos_pes_ode_20250821,2000.0,542474.09,102.02,akbank
30.09.2025,001116426_yi-ec_akpos_pes_ode_20250821,21305.0,540474.09,102.02,akbank
30.09.2025,001116426_yi-ty_akpos_pes_ode_20250821,10347.29,519169.09,102.02,akbank
30.09.2025,001116426_yi-td_akpos_pes_ode_20250821,140.0,508821.8,102.02,akbank
30.09.2025,001116426_yi-vs_akpos_pes_ode_20250821,29771.25,508681.8,102.02,akbank
29.09.2025,001116426_yi-db_akpos_pes_ode_20250820,1420.0,478910.55,102.02,akbank
29.09.2025,001116426_yi-vs_akpos_pes_ode_20250820,36450.0,477490.55,102.02,akbank
29.09.2025,001116426_yi-td_akpos_pes_ode_20250820,500.0,441040.55,102.02,akbank
29.09.2025,001116426_yi-ec_akpos_pes_ode_20250820,3715.0,440540.55,102.02,akbank
29.09.2025,001116426_yd-db_akpos_pes_ode_20250830,330.0,436825.55,102.02,akbank
28.09.2025,001116426_fast_pos_odeme-yi_ks:28.05_tl,721.95,436495.55,102.02,akbank
28.09.2025,001116426_yi-vs_akpos_pes_ode_20250819,11473.0,435773.6,102.02,akbank
28.09.2025,001116426_yi-ec_akpos_pes_ode_20250819,2253.0,424300.6,102.02,akbank
28.09.2025,001116426_yi-ty_akpos_pes_ode_20250819,16225.0,422047.6,102.02,akbank
28.09.2025,001116426_ak-db_akpos_pes_ode_20250819,180.0,405822.6,102.02,akbank
26.09.2025,001116426_yi-td_akpos_pes_ode_20250817,246.5,405642.6,102.02,akbank
26.09.2025,001116426_yi-db_akpos_pes_ode_20250817,680.0,405396.1,102.02,akbank
26.09.2025,001116426_yi-vs_akpos_pes_ode_20250817,1950.0,404716.1,102.02,akbank
26.09.2025,001116426_yi-ec_akpos_pes_ode_20250817,57040.0,402766.1,102.02,akbank
25.09.2025,001116426_ak-db_akpos_pes_ode_20250816,1433.0,345726.1,102.02,akbank
25.09.2025,001116426_yi-vs_akpos_pes_ode_20250816,18486.0,344293.1,102.02,akbank
25.09.2025,001116426_ax-vs_akpos_pes_ode_20250816,220.0,325807.1,102.02,akbank
