islem_tarihi,aciklama,tutar,bakiye,hesap_no,banka_adi
01.07.2025,kkiv/20250521/000000001120365/p_pos_satys_______________________/000001603595586,343.0,280466.23,102.04,halkbank
01.07.2025,kkiv/20250521/000000001120365/p_pos_satys_______________________/000001603595570,1000.0,281466.23,102.04,halkbank
01.07.2025,kkiv/20250521/000000001120365/p_pos_satys_______________________/000001603595585,4573.0,286039.23,102.04,halkbank
01.07.2025,kkiv/20250521/000000001120365/p_pos_satys_______________________/000001603595571,58000.0,344039.23,102.04,halkbank
01.07.2025,000000001120365/pau1___________________pos_aidat________02003840/000001639923841,-380.95,343658.28,102.04,halkbank
01.07.2025,000000001120365/pau1___________________pos_aidat________02003840/000001639923841,-19.05,343639.23,102.04,halkbank
01.07.2025,000000001120365/pau1___________________pos_aidat________02217645/000001639923844,-380.95,343258.28,102.04,halkbank
01.07.2025,000000001120365/pau1___________________pos_aidat________02217645/000001639923844,-19.05,343239.23,102.04,halkbank
01.07.2025,000000001120365/pau1___________________pos_aidat________ps080134/000001639923852,-476.19,342763.04,102.04,halkbank
01.07.2025,000000001120365/pau1___________________pos_aidat________ps080134/000001639923852,-23.81,342739.23,102.04,halkbank
01.07.2025,"alanya_ozkan_kirtasyye.mat.yay.ynþ.tyc.ltd.þty._'dan_akbank_tan_halkbank_a_eft_,",100000.0,442739.23,102.04,halkbank
02.07.2025,kkiv/20250522/000000001120365/p_pos_satys_______________________/000001604509542,2437.5,445176.73,102.04,halkbank
02.07.2025,kkiv/20250522/000000001120365/p_pos_satys_______________________/000001604509541,49270.69,494447.42,102.04,halkbank
03.07.2025,kkiv/20250523/000000001120365/p_pos_satys_______________________/000001605422773,7446.99,501894.41,102.04,halkbank
04.07.2025,kkiv/20250524/000000001120365/p_pos_satys_______________________/000001606347133,250.0,502144.41,102.04,halkbank
04.07.2025,kkiv/20250524/000000001120365/p_pos_satys_______________________/000001606347136,840.0,502984.41,102.04,halkbank
04.07.2025,kkiv/20250524/000000001120365/p_pos_satys_______________________/000001606347137,3000.0,505984.41,102.04,halkbank
04.07.2025,kkiv/20250524/000000001120365/p_pos_satys_______________________/000001606347132,10000.0,515984.41,102.04,halkbank
04.07.2025,elvan_karakan_stajyer_ucrety,-7368.0,508616.41,102.04,halkbank
04.07.2025,mehmet_ozkan_huzur_hakki_odemesy,-20000.0,488616.41,102.04,halkbank
06.07.2025,kkiv/20250526/000000001120365/p_pos_satys_______________________/000001608007941,104.8,488721.21,102.04,halkbank
06.07.2025,kkiv/20250526/000000001120365/p_pos_satys_______________________/000001608007940,298.0,489019.21,102.04,halkbank
06.07.2025,kkiv/20250526/000000001120365/p_pos_satys_______________________/000001608007939,362.4,489381.61,102.04,halkbank
06.07.2025,kkiv/20250526/000000001120365/p_pos_satys_______________________/000001608007971,8500.0,497881.61,102.04,halkbank
06.07.2025,kkiv/20250526/000000001120365/p_pos_satys_______________________/000001608007942,200000.0,697881.61,102.04,halkbank
07.07.2025,kkiv/20250527/000000001120365/p_pos_satys_______________________/000001608905042,118.5,698000.11,102.04,halkbank
07.07.2025,kkiv/20250527/000000001120365/p_pos_satys_______________________/000001608905037,1114.4,699114.51,102.04,halkbank
08.07.2025,kkiv/20250528/000000001120365/p_pos_satys_______________________/000001609801378,20.0,699134.51,102.04,halkbank
08.07.2025,kkiv/20250528/000000001120365/p_pos_satys_______________________/000001609801352,21.2,699155.71,102.04,halkbank
08.07.2025,kkiv/20250528/000000001120365/p_pos_satys_______________________/000001609801354,194.8,699350.51,102.04,halkbank
08.07.2025,kkiv/20250528/000000001120365/p_pos_satys_______________________/000001609801367,233.2,699583.71,102.04,halkbank
08.07.2025,kkiv/20250528/000000001120365/p_pos_satys_______________________/000001609801351,417.5,700001.21,102.04,halkbank
08.07.2025,alanya_ozkan_kirtasy_ye_mat.yamaaþ_____________________________2025_hazyran,-487200.82,212800.39,102.04,halkbank
09.07.2025,kkiv/20250529/000000001120365/p_pos_satys_______________________/000001610718699,378.4,213178.79,102.04,halkbank
09.07.2025,kkiv/20250529/000000001120365/p_pos_satys_______________________/000001610718700,2037.5,215216.29,102.04,halkbank
09.07.2025,kkiv/20250529/000000001120365/p_pos_satys_______________________/000001610718701,3000.0,218216.29,102.04,halkbank
10.07.2025,kkiv/20250530/000000001120365/p_pos_satys_______________________/000001611628896,25000.0,243216.29,102.04,halkbank
11.07.2025,"7441562300____________,ck_akdeniz_elektr,otm_odeme,744773267829",-46125.0,197091.29,102.04,halkbank
12.07.2025,kkiv/20250601/000000001120365/p_pos_satys_______________________/000001613860853,16.0,197107.29,102.04,halkbank
