islem_tarihi,aciklama,tutar,bakiye,hesap_no,banka_adi
30.09.2025,gond:_alanya_aytur_turyzmve_tycaret_a._þ._cari_hesaba_mahsuben_odeme_0012-halk_bankasi,8986.39,11388.98,102.09,zi
30.09.2025,"0025220_no_lu_cek:þube_:_2343,_hesap_:_0050040055976192_bedeli:300.000,00tl",-300000.0,2402.59,102.09,zi
30.09.2025,"0025210_no_lu_cek:þube_:_2343,_hesap_:_0050040055976192_bedeli:375.000,00tl",-375000.0,302402.59,102.09,zi
30.09.2025,"0027421_no_lu_cek:þube_:_2343,_hesap_:_0050040055976192_bedeli:500.000,00tl",-500000.0,677402.59,102.09,zi
30.09.2025,"0025215_no_lu_cek_,_hesap:_50040055976192",-300000.0,1177402.59,102.09,zi
30.09.2025,"55976192_-_5007_nolu_hesaptan,_þube_virman",200000.0,1477402.59,102.09,zi
30.09.2025,gond:_alanya_ozkan_kirtasyye_mat.yayin.ynþ.tyc.ltd.þty_ziraat_bankasi_hesabina_virman_0067-yapi_ve_kredi_bankasi_a.s.,1210000.0,1277402.59,102.09,zi
30.09.2025,"0027438_no_lu_cek_,_hesap:_50040055976192",-100000.0,67402.59,102.09,zi
30.09.2025,"0025205_no_lu_cek:þube_:_2343,_hesap_:_0050040055976192_bedeli:150.000,00tl",-150000.0,167402.59,102.09,zi
28.09.2025,gond:_emyne_tuncer_0067-yapy_ve_kredi_bankasy_a.þ._fast_islemi,3548.0,317402.59,102.09,zi
27.09.2025,gond:_tel_mobylya_maðazacilik_tyc.ve_s_an.a.þ._0205-kuveyt_turk_katylym_bankasy_a.þ._fast_islemi,2368.55,313854.59,102.09,zi
26.09.2025,ozkan_kyrtasiye_oze2025000002333_nolu_fatura_odemesi_ve_dip_toplam_odeme_alma_mater_ozel_eðytym_hyzmetl_alma_mater_ozel,28986.0,311486.04,102.09,zi
26.09.2025,gond:_milli_egit.od.hes20250926/149641136_s.gn.emr_talimat_no:_149641136;07-alanya;kirtasyye_malzemesy_alimi_muhasebe_bi,17600.0,282500.04,102.09,zi
26.09.2025,gond:_milli_egit.od.hes20250926/149641181_s.gn.emr_talimat_no:_149641181;07-alanya;kirtasiye_malzemelery_mal_alimi_2025,27720.0,264900.04,102.09,zi
26.09.2025,gond:_milli_egit.od.hes20250926/149641139_s.gn.emr_talimat_no:_149641139;07-alanya;kirtasyye_malzemelery_alimi-a4_kaðidi,9900.0,237180.04,102.09,zi
25.09.2025,cary_hesaba_mah._damlataþ_yapi_denetym_damlataþ_yapi_denetym_ltd.þty._ynternet_havale,8000.0,227280.04,102.09,zi
23.09.2025,gond:_gur_grup_ynþaat_sanayy_ve_tyca_vno:480525636_alanya_ozkan_kirtasyye_ma_0134-denyzbank_a.þ.,17424.01,219280.04,102.09,zi
23.09.2025,15072025_-oze202500001673_avsallar_100.yil_cumhuryyet_ortaoku-12.09.2025_avsallar_100.yil_cumhuryyet_or_avsallar_100.yil,7000.0,201856.03,102.09,zi
23.09.2025,alanya_ozkan_kirtasyye_c/h_od._arya_resort_otelcylyk_turyzm_s_arya_resort_otelcylyk_turyzm_sanayy_ve_tycaret_anonym_þyrk,32000.0,194856.03,102.09,zi
22.09.2025,gond:_demyrel_otelcylyk_turyzm_ynþaat_tarim_gida_ve_tycaret_lymyted_þyrkety_demirel_otelcilik_cari_hesaba_mahsuben_0064-,206.0,162856.03,102.09,zi
19.09.2025,gond:_azura_park_syte_yonetymy_salyh_omer_ozkan_kirtasyye_531_no_ft_0062-turkiye_garanti_bankasy_a.þ._fast_islemi,1654.99,162650.03,102.09,zi
19.09.2025,gond:_ozdence_ynþaat_taþimacilik_turyz_m_gida_hayvancili_ozkan_kirtasyye_cary_odemesy_0012-halk_bankasi,5480.0,160995.04,102.09,zi
19.09.2025,gond:_nefyze_sever_saldik_alaattin_keykubat_anaokulu_5_yas_pembe_kulup_kyrtasiye_ucreti_0143-aktif_yatyrym_bankasy_a.þ.,26000.0,155515.04,102.09,zi
18.09.2025,þukru_mulazimoðlu_ortaokulu-17.09.2025_þukru_mulazimoðlu_ortaokulu_þukru_mulazimoðlu_ortaokulu_operasyon_merkezi_hava,23770.0,129515.04,102.09,zi
17.09.2025,gond:_mustafa_þahyner_0111-qnb_bank_a.þ._fast_islemi,1500.0,105745.04,102.09,zi
17.09.2025,"55976192_-_5007_nolu_hesaba,_ziraat_mobil_virman",-400000.0,104245.04,102.09,zi
16.09.2025,gond:_tem_turyzm_yþletmecylyk_tycaret_lymyted_þyrkety_cary_odeme-ozkan_kirtasyye_0012-halk_bankasi,1783.0,504245.04,102.09,zi
16.09.2025,mert_enes_bozyyðit_dunyam_kres_kubra-gulcan_ogretmen_siparis_numarasy_421_kubra_bozyyðyt_ziraat_mobil_havale,9055.0,502462.04,102.09,zi
16.09.2025,gond:_akdenyz_meþale_eðytym_ynþ.taah.yth.ve_yhr.a.þ._ted_alanya_kolejy_c/h_odemesy_0134-denyzbank_a.þ.,8900.7,493407.04,102.09,zi
15.09.2025,gond:_ozden_haberal_bayoðlu_can_bayoðlu_0046-akbank_t.a.þ._fast_islemi,8855.52,484506.34,102.09,zi
15.09.2025,ada_yilmaz_ogrenci_dunyam_kres_siparis_no_395_ilk_transferde_siparis_no_yu_unuttum_buse_yilmaz_ziraat_mobil_havale,1.0,475650.82,102.09,zi
15.09.2025,ada_yilmaz_ogrenci_dunyam_kres_buse_yilmaz_ziraat_mobil_havale,9053.81,475649.82,102.09,zi
12.09.2025,gond:_ozler-pet_petrol_dynlenme_kirtasyye_malzemelery_alim_bedely_0064-t.yþ_bankasi_a.s.,24512.86,466596.01,102.09,zi
