islem_tarihi,aciklama,tutar,bakiye,hesap_no,banka_adi
02.06.2025,3249713458_nolu_ck_akdenyz_elektryk_perakende_satiþ_a.þ_324235436631_fatura_odemesi,-265.0,3487.25,102.15,albaraka
23.06.2025,5304841688_nolu_turkcell_0000006883714175_fatura_odemesi,-99.0,3388.25,102.15,albaraka
23.06.2025,5304841689_nolu_turkcell_0000006883714179_fatura_odemesi,-99.0,3289.25,102.15,albaraka
01.07.2025,6793719540_nolu_uyeye_ait_25021006_referansly_sanal_pos_bedeli_komisyon_tahsilaty,-310.0,2979.25,102.15,albaraka
01.07.2025,6793719540_nolu_uyeye_ait_25021006_referansly_sanal_pos_bedeli_komisyon_bsmv_tahsilaty,-15.5,2963.75,102.15,albaraka
03.07.2025,3249713458_nolu_ck_akdenyz_elektryk_perakende_satiþ_a.þ_324091413662_fatura_odemesi,-255.0,2708.75,102.15,albaraka
01.08.2025,6793719540_nolu_uyeye_ait_25021007_referansly_sanal_pos_bedeli_komisyon_tahsilaty,-310.0,2398.75,102.15,albaraka
01.08.2025,6793719540_nolu_uyeye_ait_25021007_referansly_sanal_pos_bedeli_komisyon_bsmv_tahsilaty,-15.5,2383.25,102.15,albaraka
01.09.2025,6793719540_nolu_uyeye_ait_25021008_referansly_sanal_pos_bedeli_komisyon_tahsilaty,-310.0,2073.25,102.15,albaraka
01.09.2025,6793719540_nolu_uyeye_ait_25021008_referansly_sanal_pos_bedeli_komisyon_bsmv_tahsilaty,-15.5,2057.75,102.15,albaraka
01.09.2025,ref_no:__sn:9759241_paytr_odeme_ve_elektronyk_para_kuruluþu_anonym_þyrkety_paytr_net_tutar_gonbanka:46_gonþube:90001_eftref:30_eft_otomatik_muhasebe_,1083.61,3141.36,102.15,albaraka
02.09.2025,ref_no:__sn:2101527_paytr_odeme_ve_elektronyk_para_kuruluþu_anonym_þyrkety_paytr_net_tutar_gonbanka:46_gonþube:90001_eftref:21_eft_otomatik_muhasebe_,11065.26,14206.62,102.15,albaraka
