YEVMİYE DEFTERİ;;;;;
ALANYA ÖZKAN KIRTASİYE MAT.YAY.İNŞ.TİC.LTD.ŞTİ.;;;;;
Dönem :;01/01/2025-31/12/2025;;;;
Tarih Aralığı :;01/06/2025-30/06/2025;;;;
06345-----06345-----MAHSUP-----01/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
191;İNDİRİLECEK KATMA DEĞER VERGİSİ;   ;;480,00;
191.108;Yurtiçi Tevkifatsız Alımlar İçin Ödenen KDV;   ;480,00;;
   191.108.20;%20 İndirilecek KDV - Yurtiçi Tevkifatsız Alımlar İçin Ödenen;FT 37966 14/04 YÜKSEL AKAR;480,00;;
760;PAZARLAMA SATIŞ VE DAĞITIM GİDERLERİ;   ;;2.400,00;
   760.22;%20 KDV Lİ BAKIM ONARIM GİDERİ;FT 37966 14/04 YÜKSEL AKAR;2.400,00;;
100;KASA;   ;;;2.880,00
   100.01;NAKİT KASASI TL;FT 37966 14/04 YÜKSEL AKAR;2.880,00;;
FİŞ AÇIKLAMA : ;GİDER;;;;
TOPLAM :;;;;2.880,00;2.880,00
;;;;;
06346-----06346-----MAHSUP-----01/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
191;İNDİRİLECEK KATMA DEĞER VERGİSİ;   ;;200,00;
191.108;Yurtiçi Tevkifatsız Alımlar İçin Ödenen KDV;   ;200,00;;
   191.108.20;%20 İndirilecek KDV - Yurtiçi Tevkifatsız Alımlar İçin Ödenen;FT 003524 24/05 KERİM SEVİMLER;200,00;;
760;PAZARLAMA SATIŞ VE DAĞITIM GİDERLERİ;   ;;1.000,00;
760.05;GENEL GİDERLER;   ;1.000,00;;
   760.05.20;%20 KDV Lİ GENEL GİDERLER;FT 003524 24/05 KERİM SEVİMLER;1.000,00;;
100;KASA;   ;;;1.200,00
   100.01;NAKİT KASASI TL;FT 003524 24/05 KERİM SEVİMLER;1.200,00;;
FİŞ AÇIKLAMA : ;GİDER;;;;
TOPLAM :;;;;1.200,00;1.200,00
;;;;;
06347-----06347-----MAHSUP-----01/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
431;ORTAKLARA BORÇLAR;   ;;26.000,00;
   431.01;MEHMET ÖZKAN;MF 070209071041920 01/06 ÖDENEN;26.000,00;;
100;KASA;   ;;;26.000,00
   100.01;NAKİT KASASI TL;MF 070209071041920 01/06 ÖDENEN;26.000,00;;
FİŞ AÇIKLAMA : ;ÖDEMELER;;;;
TOPLAM :;;;;26.000,00;26.000,00
;;;;;
06348-----06348-----MAHSUP-----01/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
760;PAZARLAMA SATIŞ VE DAĞITIM GİDERLERİ;   ;;1.800,00;
   760.13;BANKA POS GİDERLERİ;BE 70113291141890 01/06 ÖKC BÜT.HIZ.ÜCR-001116426-01.06.2025;1.800,00;;
102;BANKALAR;   ;;;1.800,00
   102.02;AKBANK 1330-0013212 NOLU HESAP;BE 70113291141890 01/06 ÖKC BÜT.HIZ.ÜCR-001116426-01.06.2025;1.800,00;;
FİŞ AÇIKLAMA : ;AKBANK;;;;
TOPLAM :;;;;1.800,00;1.800,00
;;;;;
06349-----06349-----MAHSUP-----01/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
760;PAZARLAMA SATIŞ VE DAĞITIM GİDERLERİ;   ;;1.300,00;
   760.13;BANKA POS GİDERLERİ;BE 70210540042010 01/06 000000001120365 PAU1 POS Aidat PS080134 000001613468585;23,81;;
   760.13;BANKA POS GİDERLERİ;BE 70210540042010 01/06 000000001120365 PAU1 POS Aidat 02217645 000001613468569;380,95;;
   760.13;BANKA POS GİDERLERİ;BE 70210540042010 01/06 000000001120365 PAU1 POS Aidat PS080134 000001613468585;476,19;;
   760.13;BANKA POS GİDERLERİ;BE 70210540042010 01/06 000000001120365 PAU1 POS Aidat 02003840 000001613468568;380,95;;
   760.13;BANKA POS GİDERLERİ;BE 70210540042010 01/06 000000001120365 PAU1 POS Aidat 02217645 000001613468569;19,05;;
   760.13;BANKA POS GİDERLERİ;BE 70210540042010 01/06 000000001120365 PAU1 POS Aidat 02003840 000001613468568;19,05;;
102;BANKALAR;   ;;;1.300,00
