Ýþlem Tarihi;Açýklama;Ýþlem Tutarý;Yeni Bakiye
01.04.2025;BATCH VALOR ÇOZUM 19-02-2025 /000000001120365 P POS Satýþ          /01527847184;10,00;833770,40
01.04.2025;BATCH VALOR ÇOZUM 19-02-2025 /000000001120365 P POS Satýþ          /01527847188;933,80;834704,20
01.04.2025;BATCH VALOR ÇOZUM 19-02-2025 /000000001120365 P POS Satýþ          /01527847185;2760,00;837464,20
01.04.2025;BATCH VALOR ÇOZUM 19-02-2025 /000000001120365 P POS Satýþ          /01527847189;2990,00;840454,20
01.04.2025;BATCH VALOR ÇOZUM 19-02-2025 /000000001120365 P POS Satýþ          /01527847186;3300,00;843754,20
01.04.2025;000000001120365/PAU1                   POS Aidat        02217645/000001560485092;-380,95;843373,25
01.04.2025;000000001120365/PAU1                   POS Aidat        02217645/000001560485092;-19,05;843354,20
01.04.2025;000000001120365/PAU1                   POS Aidat        PS080134/000001560485093;-476,19;842878,01
01.04.2025;000000001120365/PAU1                   POS Aidat        PS080134/000001560485093;-23,81;842854,20
01.04.2025;000000001120365/PAU1                   POS Aidat        02003840/000001560485094;-380,95;842473,25
01.04.2025;000000001120365/PAU1                   POS Aidat        02003840/000001560485094;-19,05;842454,20
02.04.2025;BATCH VALOR ÇOZUM 20-02-2025 /000000001120365 P POS Satýþ          /01528656772;1802,25;844256,45
02.04.2025;BATCH VALOR ÇOZUM 20-02-2025 /000000001120365 P POS Satýþ          /01528656773;5115,00;849371,45
02.04.2025;8425894 01-TAKAS PROVÝZYON  10260200;-90000,00;759371,45
02.04.2025;8425891 01-TAKAS PROVÝZYON  10260200;-300000,00;459371,45
02.04.2025;8425884 01-TAKAS PROVÝZYON  10260200;-350000,00;109371,45
03.04.2025;BATCH VALOR ÇOZUM 21-02-2025 /000000001120365 P POS Satýþ          /01529460142;432,75;109804,20
03.04.2025;BATCH VALOR ÇOZUM 21-02-2025 /000000001120365 P POS Satýþ          /01529460143;1156,00;110960,20
04.04.2025;BATCH VALOR ÇOZUM 22-02-2025 /000000001120365 P POS Satýþ          /01530264875;188,00;111148,20
04.04.2025;BATCH VALOR ÇOZUM 22-02-2025 /000000001120365 P POS Satýþ          /01530264880;2156,12;113304,32
04.04.2025;BATCH VALOR ÇOZUM 22-02-2025 /000000001120365 P POS Satýþ          /01530264874;8500,43;121804,75
04.04.2025;ALANYA ÖZKAN KIRTASÝYE MAT.YAYIN.ÝNÞ.TÝC/HALKBANK HESABINA;160000,00;281804,75
04.04.2025;ALANYA ÖZKAN KIRTASÝYE MAT.YAYIN.ÝNÞTÝC./ZiRAAT MOBiL EFT ZÝRAAT HESABINDAN HALK;340000,00;621804,75
05.04.2025;ALANYA ÖZKAN KIRTASÝ YE MAT.YAMAAÞ                             2025 MART;-508919,88;112884,87
05.04.2025;BATCH VALOR ÇOZUM 23-02-2025 /000000001120365 P POS Satýþ          /01531051449;40,00;112924,87
05.04.2025;BATCH VALOR ÇOZUM 23-02-2025 /000000001120365 P POS Satýþ          /01531051456;128,00;113052,87
05.04.2025;BATCH VALOR ÇOZUM 23-02-2025 /000000001120365 P POS Satýþ          /01531051453;876,58;113929,45
05.04.2025;BATCH VALOR ÇOZUM 23-02-2025 /000000001120365 P POS Satýþ          /01531051448;947,25;114876,70
05.04.2025;BATCH VALOR ÇOZUM 23-02-2025 /000000001120365 P POS Satýþ          /01531051452;10236,89;125113,59
06.04.2025;BATCH VALOR ÇOZUM 24-02-2025 /000000001120365 P POS Satýþ          /01531715252;52,50;125166,09
06.04.2025;BATCH VALOR ÇOZUM 24-02-2025 /000000001120365 P POS Satýþ          /01531715254;80,00;125246,09
06.04.2025;BATCH VALOR ÇOZUM 24-02-2025 /000000001120365 P POS Satýþ          /01531715253;98,00;125344,09
06.04.2025;BATCH VALOR ÇOZUM 24-02-2025 /000000001120365 P POS Satýþ          /01531715249;13600,00;138944,09
07.04.2025;BATCH VALOR ÇOZUM 25-02-2025 /000000001120365 P POS Satýþ          /01532524612;1615,00;140559,09
07.04.2025;BATCH VALOR ÇOZUM 25-02-2025 /000000001120365 P POS Satýþ          /01532524623;6707,50;147266,59
08.04.2025;BATCH VALOR ÇOZUM 26-02-2025 /000000001120365 P POS Satýþ          /01533332681;112,00;147378,59
08.04.2025;BATCH VALOR ÇOZUM 26-02-2025 /000000001120365 P POS Satýþ          /01533332684;1300,00;148678,59
08.04.2025;BATCH VALOR ÇOZUM 26-02-2025 /000000001120365 P POS Satýþ          /01533332680;6600,00;155278,59
10.04.2025;BATCH VALOR ÇOZUM 28-02-2025 /000000001120365 P POS Satýþ          /01535014159;25,00;155303,59
10.04.2025;BATCH VALOR ÇOZUM 28-02-2025 /000000001120365 P POS Satýþ          /01535014163;2097,00;157400,59
10.04.2025;BATCH VALOR ÇOZUM 28-02-2025 /000000001120365 P POS Satýþ          /01535014164;15000,66;172401,25
10.04.2025;BATCH VALOR ÇOZUM 28-02-2025 /000000001120365 P POS Satýþ          /01535014165;20000,00;192401,25
11.04.2025;7441562300            ,CK Akdeniz Elektr,OTM ÖDEME,744691514744;-16680,00;175721,25
11.04.2025;BATCH VALOR ÇOZUM 01-03-2025 /000000001120365 P POS Satýþ          /01536245245;180,00;175901,25
11.04.2025;MEHMET ÖZKAN HUZUR HAKKI ÖDEMESÝ;-20000,00;155901,25
11.04.2025;ELVAN KARAKAN STAJYER ÜCRETÝ;-11052,35;144848,90
12.04.2025;BATCH VALOR ÇOZUM 02-03-2025 /000000001120365 P POS Satýþ          /01536996072;460,50;145309,40
13.04.2025;BATCH VALOR ÇOZUM 03-03-2025 /000000001120365 P POS Satýþ          /01537627086;1400,00;146709,40
13.04.2025;BATCH VALOR ÇOZUM 03-03-2025 /000000001120365 P POS Satýþ          /01537627066;19610,16;166319,56
14.04.2025;BATCH VALOR ÇOZUM 04-03-2025 /000000001120365 P POS Satýþ          /01538375693;283,70;166603,26
14.04.2025;BATCH VALOR ÇOZUM 04-03-2025 /000000001120365 P POS Satýþ          /01538375680;625,00;167228,26
14.04.2025;BATCH VALOR ÇOZUM 04-03-2025 /000000001120365 P POS Satýþ          /01538375678;1143,00;168371,26
14.04.2025;BATCH VALOR ÇOZUM 04-03-2025 /000000001120365 P POS Satýþ          /01538375676;2200,00;170571,26
14.04.2025;ALANYA ÖZKAN KIRTASÝYE MAT.YAYIN.ÝNÞ.TÝC/ViRMAN;150000,00;320571,26
15.04.2025;4988520000486642 KREDÝ KARTI OTOMATÝK VÝRMAN;-276968,66;43602,60
16.04.2025;BATCH VALOR ÇOZUM 06-03-2025 /000000001120365 P POS Satýþ          /01539890449;130,00;43732,60
16.04.2025;BATCH VALOR ÇOZUM 06-03-2025 /000000001120365 P POS Satýþ          /01539890447;2965,70;46698,30
16.04.2025;BATCH VALOR ÇOZUM 06-03-2025 /000000001120365 P POS Satýþ          /01539890448;19300,00;65998,30
16.04.2025;9927702875            ,Türk Telekom (Mob,OTM ÖDEME,20251949684604;-2262,00;63736,30
16.04.2025;1807476754            ,Türk Telekom (Ýnt,OTM ÖDEME,0002025033748992;-704,00;63032,30
17.04.2025;BATCH VALOR ÇOZUM 07-03-2025 /000000001120365 P POS Satýþ          /01540674552;912,80;63945,10
17.04.2025;BATCH VALOR ÇOZUM 07-03-2025 /000000001120365 P POS Satýþ          /01540674501;1250,00;65195,10
17.04.2025;BATCH VALOR ÇOZUM 07-03-2025 /000000001120365 P POS Satýþ          /01540674500;1313,04;66508,14
18.04.2025;2425131303            ,Türk Telekom(Tele,OTM ÖDEME,0002025030026032;-153,25;66354,89
18.04.2025;2425138920            ,Türk Telekom(Tele,OTM ÖDEME,0002025030001665;-153,50;66201,39
19.04.2025;BATCH VALOR ÇOZUM 08-03-2025 /000000001120365 P POS Satýþ          /01542280839;300,00;66501,39
19.04.2025;BATCH VALOR ÇOZUM 08-03-2025 /000000001120365 P POS Satýþ          /01542280840;1518,50;68019,89
20.04.2025;BATCH VALOR ÇOZUM 10-03-2025 /000000001120365 P POS Satýþ          /01542957079;250,00;68269,89
21.04.2025;BATCH VALOR ÇOZUM 11-03-2025 /000000001120365 P POS Satýþ          /01543752692;11164,00;79433,89
21.04.2025;BATCH VALOR ÇOZUM 11-03-2025 /000000001120365 P POS Satýþ          /01543752695;11500,00;90933,89
22.04.2025;BATCH VALOR ÇOZUM 12-03-2025 /000000001120365 P POS Satýþ          /01544549298;250,00;91183,89
22.04.2025;BATCH VALOR ÇOZUM 12-03-2025 /000000001120365 P POS Satýþ          /01544549299;250,00;91433,89
22.04.2025;BATCH VALOR ÇOZUM 12-03-2025 /000000001120365 P POS Satýþ          /01544549300;2520,00;93953,89
23.04.2025;BATCH VALOR ÇOZUM 13-03-2025 /000000001120365 P POS Satýþ          /01545348250;4500,00;98453,89
24.04.2025;BATCH VALOR ÇOZUM 14-03-2025 /000000001120365 P POS Satýþ          /01546150971;150,00;98603,89
24.04.2025;BATCH VALOR ÇOZUM 14-03-2025 /000000001120365 P POS Satýþ          /01546150968;250,00;98853,89
24.04.2025;BATCH VALOR ÇOZUM 14-03-2025 /000000001120365 P POS Satýþ          /01546150974;350,00;99203,89
24.04.2025;BATCH VALOR ÇOZUM 14-03-2025 /000000001120365 P POS Satýþ          /01546150959;2376,89;101580,78
25.04.2025;BATCH VALOR ÇOZUM 15-03-2025 /000000001120365 P POS Satýþ          /01546973366;18,40;101599,18
25.04.2025;BATCH VALOR ÇOZUM 15-03-2025 /000000001120365 P POS Satýþ          /01546973362;110,80;101709,98
25.04.2025;BATCH VALOR ÇOZUM 15-03-2025 /000000001120365 P POS Satýþ          /01546973361;250,00;101959,98
26.04.2025;BATCH VALOR ÇOZUM 16-03-2025 /000000001120365 P POS Satýþ          /01547820665;487,50;102447,48
26.04.2025;BATCH VALOR ÇOZUM 16-03-2025 /000000001120365 P POS Satýþ          /01547820663;523,00;102970,48
26.04.2025;BATCH VALOR ÇOZUM 16-03-2025 /000000001120365 P POS Satýþ          /01547820664;8984,98;111955,46
27.04.2025;BATCH VALOR ÇOZUM 17-03-2025 /000000001120365 P POS Satýþ          /01548540417;250,00;112205,46
27.04.2025;BATCH VALOR ÇOZUM 17-03-2025 /000000001120365 P POS Satýþ          /01548540414;7874,00;120079,46
27.04.2025;BATCH VALOR ÇOZUM 17-03-2025 /000000001120365 P POS Satýþ          /01548540411;12376,00;132455,46
28.04.2025;BATCH VALOR ÇOZUM 18-03-2025 /000000001120365 P POS Satýþ          /01549372915;250,00;132705,46
28.04.2025;BATCH VALOR ÇOZUM 18-03-2025 /000000001120365 P POS Satýþ          /01549372916;250,00;132955,46
29.04.2025;585999                ,Antalya Su       ,OTM ÖDEME,237046899  -500;-2240,40;130715,06
29.04.2025;BATCH VALOR ÇOZUM 19-03-2025 /000000001120365 P POS Satýþ          /01550164858;320,00;131035,06
29.04.2025;BATCH VALOR ÇOZUM 19-03-2025 /000000001120365 P POS Satýþ          /01550164861;360,00;131395,06
29.04.2025;BATCH VALOR ÇOZUM 19-03-2025 /000000001120365 P POS Satýþ          /01550164856;3273,00;134668,06
29.04.2025;BATCH VALOR ÇOZUM 19-03-2025 /000000001120365 P POS Satýþ          /01550164866;8222,37;142890,43
29.04.2025;BATCH VALOR ÇOZUM 19-03-2025 /000000001120365 P POS Satýþ          /01550164854;30000,00;172890,43
01.05.2025;BATCH VALOR ÇOZUM 21-03-2025 /000000001120365 P POS Satýþ          /01551732008;250,00;173140,43
01.05.2025;BATCH VALOR ÇOZUM 21-03-2025 /000000001120365 P POS Satýþ          /01551731994;750,00;173890,43
01.05.2025;BATCH VALOR ÇOZUM 21-03-2025 /000000001120365 P POS Satýþ          /01551731998;2179,80;176070,23
01.05.2025;BATCH VALOR ÇOZUM 21-03-2025 /000000001120365 P POS Satýþ          /01551732000;7500,00;183570,23
01.05.2025;BATCH VALOR ÇOZUM 21-03-2025 /000000001120365 P POS Satýþ          /01551731997;13600,57;197170,80
01.05.2025;BATCH VALOR ÇOZUM 21-03-2025 /000000001120365 P POS Satýþ          /01551731995;20798,81;217969,61
01.05.2025;000000001120365/PAU1                   POS Aidat        02003840/000001585830653;-380,95;217588,66
01.05.2025;000000001120365/PAU1                   POS Aidat        02003840/000001585830653;-19,05;217569,61
01.05.2025;000000001120365/PAU1                   POS Aidat        PS080134/000001585830654;-476,19;217093,42
01.05.2025;000000001120365/PAU1                   POS Aidat        PS080134/000001585830654;-23,81;217069,61
01.05.2025;000000001120365/PAU1                   POS Aidat        02217645/000001585830655;-380,95;216688,66
01.05.2025;000000001120365/PAU1                   POS Aidat        02217645/000001585830655;-19,05;216669,61
03.05.2025;BATCH VALOR ÇOZUM 23-03-2025 /000000001120365 P POS Satýþ          /01553384297;537,00;217206,61
03.05.2025;BATCH VALOR ÇOZUM 23-03-2025 /000000001120365 P POS Satýþ          /01553384302;555,00;217761,61
03.05.2025;BATCH VALOR ÇOZUM 23-03-2025 /000000001120365 P POS Satýþ          /01553384298;2124,02;219885,63
03.05.2025;BATCH VALOR ÇOZUM 23-03-2025 /000000001120365 P POS Satýþ          /01553384299;5789,13;225674,76
04.05.2025;BATCH VALOR ÇOZUM 24-03-2025 /000000001120365 P POS Satýþ          /01554106009;1015,50;226690,26
04.05.2025;BATCH VALOR ÇOZUM 24-03-2025 /000000001120365 P POS Satýþ          /01554106008;41055,25;267745,51
05.05.2025;BATCH VALOR ÇOZUM 25-03-2025 /000000001120365 P POS Satýþ          /01554951328;1191,00;268936,51
05.05.2025;BATCH VALOR ÇOZUM 25-03-2025 /000000001120365 P POS Satýþ          /01554951325;1280,00;270216,51
05.05.2025;BATCH VALOR ÇOZUM 25-03-2025 /000000001120365 P POS Satýþ          /01554951324;2790,00;273006,51
05.05.2025;BATCH VALOR ÇOZUM 25-03-2025 /000000001120365 P POS Satýþ          /01554951341;8500,00;281506,51
05.05.2025;BATCH VALOR ÇOZUM 25-03-2025 /000000001120365 P POS Satýþ          /01554951327;9747,64;291254,15
05.05.2025;ALANYA ÖZKAN KIRTASÝYE MAT.YAYIN.ÝNÞTÝC./ZiRAAT MOBiL EFT ZÝRAAT HESABINDAN HALK;400000,00;691254,15
05.05.2025;MEHMET ÖZKAN HUZUR HAKKI ÖDEMESÝ;-20000,00;671254,15
05.05.2025;ELVAN KARAKAN STAJYER ÜCRETÝ;-11052,35;660201,80
06.05.2025;ALANYA ÖZKAN KIRTASÝ YE MAT.YAMAAÞ                             2025 NÝSAN;-495718,89;164482,91
06.05.2025;BATCH VALOR ÇOZUM 26-03-2025 /000000001120365 P POS Satýþ          /01555802144;250,00;164732,91
06.05.2025;BATCH VALOR ÇOZUM 26-03-2025 /000000001120365 P POS Satýþ          /01555802104;522,50;165255,41
06.05.2025;BATCH VALOR ÇOZUM 26-03-2025 /000000001120365 P POS Satýþ          /01555802095;3499,49;168754,90
06.05.2025;BATCH VALOR ÇOZUM 26-03-2025 /000000001120365 P POS Satýþ          /01555802093;13644,20;182399,10
07.05.2025;BATCH VALOR ÇOZUM 27-03-2025 /000000001120365 P POS Satýþ          /01556667383;10,00;182409,10
07.05.2025;BATCH VALOR ÇOZUM 27-03-2025 /000000001120365 P POS Satýþ          /01556667388;68,00;182477,10
07.05.2025;BATCH VALOR ÇOZUM 27-03-2025 /000000001120365 P POS Satýþ          /01556667384;1753,79;184230,89
07.05.2025;BATCH VALOR ÇOZUM 27-03-2025 /000000001120365 P POS Satýþ          /01556667386;8629,60;192860,49
08.05.2025;BATCH VALOR ÇOZUM 28-03-2025 /000000001120365 P POS Satýþ          /01557565275;213,78;193074,27
08.05.2025;BATCH VALOR ÇOZUM 27-03-2025 /000000001120365 P POS Satýþ          /01557565277;312,00;193386,27
08.05.2025;BATCH VALOR ÇOZUM 28-03-2025 /000000001120365 P POS Satýþ          /01557565274;736,00;194122,27
08.05.2025;BATCH VALOR ÇOZUM 28-03-2025 /000000001120365 P POS Satýþ          /01557565289;15123,40;209245,67
09.05.2025;BATCH VALOR ÇOZUM 29-03-2025 /000000001120365 P POS Satýþ          /01558504039;225,00;209470,67
12.05.2025;7441562300            ,CK Akdeniz Elektr,OTM ÖDEME,744135990609;-27815,00;181655,67
12.05.2025;BATCH VALOR ÇOZUM 01-04-2025 /000000001120365 P POS Satýþ          /01560861485;868,00;182523,67
12.05.2025;BATCH VALOR ÇOZUM 01-04-2025 /000000001120365 P POS Satýþ          /01560861486;1053,68;183577,35
12.05.2025;AYTUR TURÝZM VE TÝCARET LTD.ÞTÝ.        /CARÝ HESABA MAHSUBEN;216676,84;400254,19
14.05.2025;BATCH VALOR ÇOZUM 03-04-2025 /000000001120365 P POS Satýþ          /01562308561;50,60;400304,79
14.05.2025;BATCH VALOR ÇOZUM 03-04-2025 /000000001120365 P POS Satýþ          /01562308556;84,00;400388,79
14.05.2025;BATCH VALOR ÇOZUM 03-04-2025 /000000001120365 P POS Satýþ          /01562308543;2900,27;403289,06
14.05.2025;BATCH VALOR ÇOZUM 03-04-2025 /000000001120365 P POS Satýþ          /01562308545;15000,00;418289,06
15.05.2025;BATCH VALOR ÇOZUM 04-04-2025 /000000001120365 P POS Satýþ          /01563151625;1934,25;420223,31
15.05.2025;BATCH VALOR ÇOZUM 04-04-2025 /000000001120365 P POS Satýþ          /01563151627;2160,00;422383,31
15.05.2025;BATCH VALOR ÇOZUM 04-04-2025 /000000001120365 P POS Satýþ          /01563151624;4409,37;426792,68
15.05.2025;4988520000486642 KREDÝ KARTI OTOMATÝK VÝRMAN;-321062,04;105730,64
16.05.2025;BATCH VALOR ÇOZUM 05-04-2025 /000000001120365 P POS Satýþ          /01564004362;5800,00;111530,64
16.05.2025;9927702875            ,Türk Telekom (Mob,OTM ÖDEME,20251967870308;-4100,00;107430,64
16.05.2025;1807476754            ,Türk Telekom (Ýnt,OTM ÖDEME,0002025044647845;-704,00;106726,64
17.05.2025;BATCH VALOR ÇOZUM 06-04-2025 /000000001120365 P POS Satýþ          /01564843585;422,10;107148,74
20.05.2025;BATCH VALOR ÇOZUM 09-04-2025 /000000001120365 P POS Satýþ          /01567226025;84,00;107232,74
20.05.2025;BATCH VALOR ÇOZUM 09-04-2025 /000000001120365 P POS Satýþ          /01567226013;1230,00;108462,74
20.05.2025;BATCH VALOR ÇOZUM 09-04-2025 /000000001120365 P POS Satýþ          /01567226015;6082,00;114544,74
20.05.2025;BATCH VALOR ÇOZUM 09-04-2025 /000000001120365 P POS Satýþ          /01567226012;7000,00;121544,74
22.05.2025;BATCH VALOR ÇOZUM 11-04-2025 /000000001120365 P POS Satýþ          /01568905486;472,51;122017,25
22.05.2025;BATCH VALOR ÇOZUM 11-04-2025 /000000001120365 P POS Satýþ          /01568905522;3053,87;125071,12
22.05.2025;2425131303            ,Türk Telekom(Tele,OTM ÖDEME,0002025040025538;-153,50;124917,62
22.05.2025;2425138920            ,Türk Telekom(Tele,OTM ÖDEME,0002025040025539;-153,25;124764,37
23.05.2025;BATCH VALOR ÇOZUM 12-04-2025 /000000001120365 P POS Satýþ          /01569748303;381,60;125145,97
23.05.2025;BATCH VALOR ÇOZUM 12-04-2025 /000000001120365 P POS Satýþ          /01569748288;958,00;126103,97
23.05.2025;BATCH VALOR ÇOZUM 12-04-2025 /000000001120365 P POS Satýþ          /01569748294;2900,00;129003,97
24.05.2025;BATCH VALOR ÇOZUM 13-04-2025 /000000001120365 P POS Satýþ          /01570583269;89,20;129093,17
24.05.2025;BATCH VALOR ÇOZUM 13-04-2025 /000000001120365 P POS Satýþ          /01570583271;160,00;129253,17
25.05.2025;BATCH VALOR ÇOZUM 14-04-2025 /000000001120365 P POS Satýþ          /01571297462;1058,00;130311,17
25.05.2025;BATCH VALOR ÇOZUM 14-04-2025 /000000001120365 P POS Satýþ          /01571297459;99132,34;229443,51
26.05.2025;585999                ,Antalya Su       ,OTM ÖDEME,238256458;-3243,33;226200,18
26.05.2025;BATCH VALOR ÇOZUM 15-04-2025 /000000001120365 P POS Satýþ          /01572139986;3236,26;229436,44
26.05.2025;BATCH VALOR ÇOZUM 15-04-2025 /000000001120365 P POS Satýþ          /01572139994;7354,34;236790,78
26.05.2025;BATCH VALOR ÇOZUM 15-04-2025 /000000001120365 P POS Satýþ          /01572139983;50262,22;287053,00
27.05.2025;BATCH VALOR ÇOZUM 16-04-2025 /000000001120365 P POS Satýþ          /01573013416;3040,50;290093,50
27.05.2025;BATCH VALOR ÇOZUM 16-04-2025 /000000001120365 P POS Satýþ          /01573013418;4485,35;294578,85
27.05.2025;HAVALE-CARI HESABA MAHSUBEN;307629,63;602208,48
28.05.2025;BATCH VALOR ÇOZUM 17-04-2025 /000000001120365 P POS Satýþ          /01573901215;230,00;602438,48
29.05.2025;BATCH VALOR ÇOZUM 18-04-2025 /000000001120365 P POS Satýþ          /01574795446;71,25;602509,73
29.05.2025;BATCH VALOR ÇOZUM 18-04-2025 /000000001120365 P POS Satýþ          /01574795448;435,00;602944,73
30.05.2025;BATCH VALOR ÇOZUM 19-04-2025 /000000001120365 P POS Satýþ          /01575699408;164,10;603108,83
31.05.2025;BATCH VALOR ÇOZUM 20-04-2025 /000000001120365 P POS Satýþ          /01576587849;1329,29;604438,12
01.06.2025;000000001120365/PAU1                   POS Aidat        02003840/000001613468568;-380,95;604057,17
01.06.2025;000000001120365/PAU1                   POS Aidat        02003840/000001613468568;-19,05;604038,12
01.06.2025;000000001120365/PAU1                   POS Aidat        02217645/000001613468569;-380,95;603657,17
01.06.2025;000000001120365/PAU1                   POS Aidat        02217645/000001613468569;-19,05;603638,12
01.06.2025;000000001120365/PAU1                   POS Aidat        PS080134/000001613468585;-476,19;603161,93
01.06.2025;000000001120365/PAU1                   POS Aidat        PS080134/000001613468585;-23,81;603138,12
02.06.2025;BATCH VALOR ÇOZUM 22-04-2025 /000000001120365 P POS Satýþ          /01578226665;600,00;603738,12
02.06.2025;ALANYA ÖZKAN KIRTASÝYE.MAT.YAY.ÝNÞ.TÝC.L/AKBANK TAN HALKBANK A EFT;182800,00;786538,12
02.06.2025;MEHMET ÖZKAN HUZUR HAKKI ÖDEMESÝ;-20000,00;766538,12
02.06.2025;ELVAN KARAKAN STAJYER ÜCRETÝ;-9579,35;756958,77
03.06.2025;ALANYA ÖZKAN KIRTASÝ YE MAT.YAMAAÞ                             2025 MAYIS;-510028,07;246930,70
05.06.2025;BATCH VALOR ÇOZUM 25-04-2025 /000000001120365 P POS Satýþ          /01580801127;1000,00;247930,70
05.06.2025;BATCH VALOR ÇOZUM 25-04-2025 /000000001120365 P POS Satýþ          /01580801122;1000,00;248930,70
05.06.2025;BATCH VALOR ÇOZUM 25-04-2025 /000000001120365 P POS Satýþ          /01580801125;1100,00;250030,70
05.06.2025;BATCH VALOR ÇOZUM 25-04-2025 /000000001120365 P POS Satýþ          /01580801136;2000,00;252030,70
05.06.2025;BATCH VALOR ÇOZUM 25-04-2025 /000000001120365 P POS Satýþ          /01580801123;6075,00;258105,70
05.06.2025;BATCH VALOR ÇOZUM 25-04-2025 /000000001120365 P POS Satýþ          /01580801121;10000,00;268105,70
06.06.2025;BATCH VALOR ÇOZUM 26-04-2025 /000000001120365 P POS Satýþ          /01581677658;125,00;268230,70
06.06.2025;BATCH VALOR ÇOZUM 26-04-2025 /000000001120365 P POS Satýþ          /01581677653;150,00;268380,70
06.06.2025;BATCH VALOR ÇOZUM 26-04-2025 /000000001120365 P POS Satýþ          /01581677636;350,00;268730,70
06.06.2025;BATCH VALOR ÇOZUM 26-04-2025 /000000001120365 P POS Satýþ          /01581677639;350,00;269080,70
06.06.2025;BATCH VALOR ÇOZUM 26-04-2025 /000000001120365 P POS Satýþ          /01581677640;15625,39;284706,09
07.06.2025;BATCH VALOR ÇOZUM 27-04-2025 /000000001120365 P POS Satýþ          /01582551202;900,00;285606,09
07.06.2025;BATCH VALOR ÇOZUM 27-04-2025 /000000001120365 P POS Satýþ          /01582551190;1855,00;287461,09
08.06.2025;BATCH VALOR ÇOZUM 28-04-2025 /000000001120365 P POS Satýþ          /01583277028;4750,00;292211,09
08.06.2025;BATCH VALOR ÇOZUM 28-04-2025 /000000001120365 P POS Satýþ          /01583277016;5000,00;297211,09
08.06.2025;BATCH VALOR ÇOZUM 28-04-2025 /000000001120365 P POS Satýþ          /01583277015;5750,00;302961,09
09.06.2025;BATCH VALOR ÇOZUM 29-04-2025 /000000001120365 P POS Satýþ          /01584133888;105,00;303066,09
09.06.2025;BATCH VALOR ÇOZUM 29-04-2025 /000000001120365 P POS Satýþ          /01584133898;185,00;303251,09
09.06.2025;BATCH VALOR ÇOZUM 29-04-2025 /000000001120365 P POS Satýþ          /01584133889;1000,00;304251,09
11.06.2025;7441562300            ,CK Akdeniz Elektr,OTM ÖDEME,744909713903;-34575,00;269676,09
12.06.2025;BATCH VALOR ÇOZUM 02-05-2025 /000000001120365 P POS Satýþ          /01587018425;540,00;270216,09
12.06.2025;BATCH VALOR ÇOZUM 02-05-2025 /000000001120365 P POS Satýþ          /01587018427;1990,00;272206,09
13.06.2025;BATCH VALOR ÇOZUM 03-05-2025 /000000001120365 P POS Satýþ          /01587891784;500,00;272706,09
13.06.2025;AYTUR TURÝZM VE TÝCARET LTD.ÞTÝ.        /CARÝ HESABA MAHSUBEN;133243,88;405949,97
15.06.2025;BATCH VALOR ÇOZUM 05-05-2025 /000000001120365 P POS Satýþ          /01589488417;7073,70;413023,67
15.06.2025;BATCH VALOR ÇOZUM 05-05-2025 /000000001120365 P POS Satýþ          /01589488431;8091,46;421115,13
15.06.2025;BATCH VALOR ÇOZUM 05-05-2025 /000000001120365 P POS Satýþ          /01589488416;17422,79;438537,92
15.06.2025;BATCH VALOR ÇOZUM 05-05-2025 /000000001120365 P POS Satýþ          /01589488418;20292,25;458830,17
16.06.2025;BATCH VALOR ÇOZUM 06-05-2025 /000000001120365 P POS Satýþ          /01590367192;495,00;459325,17
16.06.2025;ALANYA ÖZKAN KIRTASÝYE MAT.YAYIN.ÝNÞTÝC./ZiRAAT MOBiL EFT ZÝRAAT HESABINDAN HALK;150000,00;609325,17
16.06.2025;4988520000486642 KREDÝ KARTI OTOMATÝK VÝRMAN;-512143,93;97181,24
16.06.2025;9927702875            ,Türk Telekom (Mob,OTM ÖDEME,20251986097115;-2186,25;94994,99
16.06.2025;1807476754            ,Türk Telekom (Ýnt,OTM ÖDEME,0002025055632193;-704,00;94290,99
17.06.2025;BATCH VALOR ÇOZUM 07-05-2025 /000000001120365 P POS Satýþ          /01591254856;10000,00;104290,99
17.06.2025;BATCH VALOR ÇOZUM 07-05-2025 /000000001120365 P POS Satýþ          /01591254854;24695,15;128986,14
19.06.2025;BATCH VALOR ÇOZUM 09-05-2025 /000000001120365 P POS Satýþ          /01593048770;752,25;129738,39
20.06.2025;2425138920            ,Türk Telekom(Tele,OTM ÖDEME,0002025050025467;-153,25;129585,14
