Ýþlem Tarihi;Açýklama;Ýþlem Tutarý;Yeni Bakiye
01.08.2025;KKIV/20250621/000000001120365/P POS Satýþ                       /000001631051118;80,00;556562,8
01.08.2025;000000001120365/PAU1                   POS Aidat        02217645/000001668737767;-380,95;556181,85
01.08.2025;000000001120365/PAU1                   POS Aidat        02217645/000001668737767;-19,05;556162,8
01.08.2025;000000001120365/PAU1                   POS Aidat        02003840/000001668737735;-380,95;555781,85
01.08.2025;000000001120365/PAU1                   POS Aidat        02003840/000001668737735;-19,05;555762,8
02.08.2025;KKIV/20250622/000000001120365/P POS Satýþ                       /000001631957970;6351,27;562114,07
03.08.2025;KKIV/20250623/000000001120365/P POS Satýþ                       /000001632717834;108,00;562222,07
03.08.2025;KKIV/20250623/000000001120365/P POS Satýþ                       /000001632717836;360,00;562582,07
03.08.2025;KKIV/20250623/000000001120365/P POS Satýþ                       /000001632717832;1483,77;564065,84
03.08.2025;KKIV/20250623/000000001120365/P POS Satýþ                       /000001632717849;84903,68;648969,52
04.08.2025;KKIV/20250624/000000001120365/P POS Satýþ                       /000001633640477;728,00;649697,52
04.08.2025;KKIV/20250624/000000001120365/P POS Satýþ                       /000001633640480;3078,60;652776,12
04.08.2025;KKIV/20250624/000000001120365/P POS Satýþ                       /000001633640478;12535,00;665311,12
04.08.2025;ALANYA ÖZKAN KIRTASÝ YE MAT.YAMAAÞ                             2025 TEMMUZ;-484096,07;181215,05
06.08.2025;HAVALE-CARI HESABA MAHSUBEN;152480,25;333695,3
06.08.2025;MEHMET ÖZKAN HUZUR HAKKI ÖDEMESÝ;-20000,00;313695,3
06.08.2025;KREDÝ TAHSÝS ÜCRETÝ;-2599,83;311095,47
11.08.2025;7441562300            ,CK Akdeniz Elektr,OTM ÖDEME,744650086545;-62745,00;248350,47
14.08.2025;ALANYA ÖZKAN KIRTASÝYE MAT.YAYIN.ÝNÞ.TÝC/HALKBANK HESABINA;1500000,00;1.748.350,47
15.08.2025;4988520000486642 Kredi Kart Odeme;-1306350,71;441999,76
18.08.2025;9927702875            ,Türk Telekom (Mob,OTM ÖDEME,20252022895176;-5665,84;436333,92
18.08.2025;1807476754            ,Türk Telekom (Ýnt,OTM ÖDEME,0002025078959520;-730,00;435603,92
19.08.2025;2425131303            ,Türk Telekom(Tele,OTM ÖDEME,0002025070024523;-153,25;435450,67
19.08.2025;2425138920            ,Türk Telekom(Tele,OTM ÖDEME,0002025070024524;-153,25;435297,42
21.08.2025;585999                ,Antalya Su       ,OTM ÖDEME,242466634;-2450,53;432846,89
27.08.2025;KKIV/20250717/000000001120365/P POS Satýþ                       /000001654872575;300,00;433146,89
27.08.2025;KKIV/20250717/000000001120365/P POS Satýþ                       /000001654872579;306,00;433452,89
27.08.2025;KKIV/20250717/000000001120365/P POS Satýþ                       /000001654872578;328,00;433780,89
27.08.2025;KKIV/20250717/000000001120365/P POS Satýþ                       /000001654872580;387,00;434167,89
27.08.2025;KKIV/20250717/000000001120365/P POS Satýþ                       /000001654872573;408,00;434575,89
27.08.2025;KKIV/20250717/000000001120365/P POS Satýþ                       /000001654872583;644,00;435219,89
27.08.2025;KKIV/20250717/000000001120365/P POS Satýþ                       /000001654872572;1188,80;436408,69
27.08.2025;KKIV/20250717/000000001120365/P POS Satýþ                       /000001654872581;1879,84;438288,53
27.08.2025;KKIV/20250717/000000001120365/P POS Satýþ                       /000001654872571;2867,10;441155,63
27.08.2025;KKIV/20250717/000000001120365/P POS Satýþ                       /000001654872574;3679,60;444835,23
29.08.2025;KKIV/20250719/000000001120365/P POS Satýþ                       /000001656790157;560,00;445395,23
29.08.2025;KKIV/20250719/000000001120365/P POS Satýþ                       /000001656790154;747,80;446143,03
29.08.2025;KKIV/20250719/000000001120365/P POS Satýþ                       /000001656790153;871,60;447014,63
29.08.2025;KKIV/20250719/000000001120365/P POS Satýþ                       /000001656790167;1398,30;448412,93
29.08.2025;KKIV/20250719/000000001120365/P POS Satýþ                       /000001656790161;1743,00;450155,93
29.08.2025;KKIV/20250719/000000001120365/P POS Satýþ                       /000001656790163;2865,60;453021,53
29.08.2025;KKIV/20250719/000000001120365/P POS Satýþ                       /000001656790169;3333,50;456355,03
29.08.2025;KKIV/20250719/000000001120365/P POS Satýþ                       /000001656790158;4792,00;461147,03
29.08.2025;KKIV/20250719/000000001120365/P POS Satýþ                       /000001656790155;7489,54;468636,57
29.08.2025;KKIV/20250719/000000001120365/P POS Satýþ                       /000001656790160;11860,00;480496,57
31.08.2025;KKIV/20250721/000000001120365/P POS Satýþ                       /000001658502872;119,90;480616,47
31.08.2025;KKIV/20250721/000000001120365/P POS Satýþ                       /000001658502870;200,00;480816,47
31.08.2025;KKIV/20250721/000000001120365/P POS Satýþ                       /000001658502873;270,00;481086,47
31.08.2025;KKIV/20250721/000000001120365/P POS Satýþ                       /000001658502871;382,50;481468,97
31.08.2025;KKIV/20250721/000000001120365/P POS Satýþ                       /000001658502868;1020,80;482489,77
31.08.2025;KKIV/20250721/000000001120365/P POS Satýþ                       /000001658502884;5410,30;487900,07
