Tarih;Açýklama;Tutar;Bakiye
31.12.2025;001116426 YD-DB AKPOS PES ODE 20251201;264,00;477.493,01
31.12.2025;001116426 AK-DT AKPOS PES ODE 20251216;435,00;477.229,01
31.12.2025;001116426 YI-DB AKPOS PES ODE 20251216;4.372,32;476.794,01
31.12.2025;001116426 AK-DB AKPOS PES ODE 20251216;150,00;472.421,69
31.12.2025;001116426 YI-VS AKPOS PES ODE 20251121;125,00;472.271,69
31.12.2025;001116426 AX-MC AKPOS PES ODE 20251121;18.411,00;472.146,69
31.12.2025;001116426 YD-VS AKPOS PES ODE 20251201;625,50;453.735,69
31.12.2025;001116426 YD-EC AKPOS PES ODE 20251201;1.532,00;453.110,19
31.12.2025;001116426 YI-TD AKPOS PES ODE 20251216;440,00;451.578,19
31.12.2025;001116426 YI-EC AKPOS PES ODE 20251121;3.650,00;451.138,19
30.12.2025;001116426 YI-DB AKPOS PES ODE 20251215;280,00;447.488,19
30.12.2025;001116426 YI-TY AKPOS PES ODE 20251120;950,00;447.208,19
30.12.2025;001116426 YI-EC AKPOS PES ODE 20251120;1.360,00;446.258,19
30.12.2025;001116426 YI-VS AKPOS PES ODE 20251120;350,00;444.898,19
29.12.2025;001116426 YI-EC AKPOS PES ODE 20251119;1.700,00;444.548,19
29.12.2025;001116426 YI-TY AKPOS PES ODE 20251119;75,00;442.848,19
29.12.2025;001116426 YI-TD AKPOS PES ODE 20251214;1.360,01;442.773,19
29.12.2025;001116426 YI-VS AKPOS PES ODE 20251119;760,00;441.413,18
29.12.2025;001116426 YI-DB AKPOS PES ODE 20251214;1.560,00;440.653,18
28.12.2025;001116426 YI-TD AKPOS PES ODE 20251213;3.555,00;439.093,18
28.12.2025;001116426 YI-DB AKPOS PES ODE 20251213;835,00;435.538,18
28.12.2025;001116426 YI-TY AKPOS PES ODE 20251118;380,00;434.703,18
28.12.2025;001116426 YI-EC AKPOS PES ODE 20251118;19.604,04;434.323,18
28.12.2025;001116426 YD-EC AKPOS PES ODE 20251128;165,00;414.719,14
28.12.2025;001116426 YI-VS AKPOS PES ODE 20251118;6.305,00;414.554,14
27.12.2025;001116426 YI-EC AKPOS PES ODE 20251117;60,00;408.249,14
27.12.2025;001116426 YI-DB AKPOS PES ODE 20251212;230,00;408.189,14
26.12.2025;001116426 YI-VS AKPOS PES ODE 20251116;350,00;407.959,14
26.12.2025;001116426 YI-TD AKPOS PES ODE 20251211;172,00;407.609,14
26.12.2025;001116426 YI-EC AKPOS PES ODE 20251116;75,00;407.437,14
25.12.2025;001116426 AK-DT AKPOS PES ODE 20251210;1.125,00;407.362,14
25.12.2025;001116426 YI-DB AKPOS PES ODE 20251210;400,00;406.237,14
25.12.2025;001116426 YI-EC AKPOS PES ODE 20251115;650,00;405.837,14
25.12.2025;001116426 YI-TD AKPOS PES ODE 20251210;1.130,10;405.187,14
25.12.2025;001116426 YI-TY AKPOS PES ODE 20251115;4.000,00;404.057,04
25.12.2025;001116426 YI-VS AKPOS PES ODE 20251115;1.070,00;400.057,04
25.12.2025;001116426 AK-DB AKPOS PES ODE 20251210;200,00;398.987,04
24.12.2025;001116426 YI-DB AKPOS PES ODE 20251209;235,00;398.787,04
24.12.2025;001116426 YI-TY AKPOS PES ODE 20251114;455,00;398.552,04
24.12.2025;001116426 AX-VS AKPOS PES ODE 20251114;800,00;398.097,04
24.12.2025;001116426 YI-VS AKPOS PES ODE 20251114;280,00;397.297,04
24.12.2025;001116426 AX-MC AKPOS PES ODE 20251114;15.000,00;397.017,04
24.12.2025;001116426 YI-TD AKPOS PES ODE 20251209;300,00;382.017,04
24.12.2025;001116426 YI-EC AKPOS PES ODE 20251114;1.000,00;381.717,04
23.12.2025;001116426 YI-EC AKPOS PES ODE 20251113;5.936,25;380.717,04
22.12.2025;001116426 YI-TY AKPOS PES ODE 20251112;8.033,50;374.780,79
22.12.2025;001116426 YI-TD AKPOS PES ODE 20251207;450,00;366.747,29
22.12.2025;001116426 AX-MC AKPOS PES ODE 20251112;150,00;366.297,29
22.12.2025;001116426 YI-DB AKPOS PES ODE 20251207;3.292,60;366.147,29
22.12.2025;001116426 YI-VS AKPOS PES ODE 20251112;152.431,51;362.854,69
21.12.2025;001116426 YI-TD AKPOS PES ODE 20251206;4.500,00;210.423,18
21.12.2025;001116426 YI-VS AKPOS PES ODE 20251111;22.300,51;205.923,18
21.12.2025;001116426 YI-TY AKPOS PES ODE 20251111;1.450,00;183.622,67
21.12.2025;001116426 YI-EC AKPOS PES ODE 20251111;32.899,32;182.172,67
21.12.2025;001116426 YI-DB AKPOS PES ODE 20251206;1.871,36;149.273,35
21.12.2025;001116426 AX-MC AKPOS PES ODE 20251111;1.850,00;147.401,99
21.12.2025;001116426 AX-TY AKPOS PES ODE 20251111;1.400,00;145.551,99
20.12.2025;001116426 YI-EC AKPOS PES ODE 20251110;3.090,00;144.151,99
20.12.2025;001116426 AX-TY AKPOS PES ODE 20251110;240,00;141.061,99
20.12.2025;001116426 YI-VS AKPOS PES ODE 20251110;2.300,00;140.821,99
20.12.2025;001116426 YI-TY AKPOS PES ODE 20251110;500,00;138.521,99
20.12.2025;001116426 AX-MC AKPOS PES ODE 20251110;2.300,00;138.021,99
20.12.2025;001116426 YI-DB AKPOS PES ODE 20251205;1.055,00;135.721,99
19.12.2025;001116426 YI-EC AKPOS PES ODE 20251109;455,00;134.666,99
19.12.2025;001116426 AX-MC AKPOS PES ODE 20251109;695,00;134.211,99
19.12.2025;001116426 YI-DB AKPOS PES ODE 20251204;1.225,00;133.516,99
19.12.2025;001116426 YI-TY AKPOS PES ODE 20251109;590,00;132.291,99
19.12.2025;001116426 YI-VS AKPOS PES ODE 20251109;900,00;131.701,99
18.12.2025;001116426 YI-TD AKPOS PES ODE 20251203;1.080,00;130.801,99
18.12.2025;001116426 AK-DB AKPOS PES ODE 20251203;300,00;129.721,99
18.12.2025;001116426 YI-DB AKPOS PES ODE 20251203;3.226,00;129.421,99
18.12.2025;001116426 YI-TY AKPOS PES ODE 20251108;100,00;126.195,99
18.12.2025;001116426 AX-MC AKPOS PES ODE 20251108;1.240,00;126.095,99
18.12.2025;001116426 YI-VS AKPOS PES ODE 20251108;1.990,00;124.855,99
18.12.2025;001116426 YI-EC AKPOS PES ODE 20251108;2.704,00;122.865,99
17.12.2025;001116426 AX-TY AKPOS PES ODE 20251107;225,00;120.161,99
17.12.2025;001116426 AX-MC AKPOS PES ODE 20251107;260,00;119.936,99
17.12.2025;001116426 YI-DB AKPOS PES ODE 20251202;1.079,00;119.676,99
17.12.2025;001116426 YI-TY AKPOS PES ODE 20251107;850,00;118.597,99
17.12.2025;001116426 YI-EC AKPOS PES ODE 20251107;2.925,00;117.747,99
16.12.2025;001116426 YI-TD AKPOS PES ODE 20251201;914,40;114.822,99
16.12.2025;001116426 AX-TY AKPOS PES ODE 20251106;125,00;113.908,59
16.12.2025;001116426 YI-TY AKPOS PES ODE 20251106;4.766,97;113.783,59
16.12.2025;001116426 YI-VS AKPOS PES ODE 20251106;2.730,00;109.016,62
16.12.2025;001116426 YI-EC AKPOS PES ODE 20251106;1.810,00;106.286,62
16.12.2025;001116426 YI-DB AKPOS PES ODE 20251201;3.168,30;104.476,62
15.12.2025;001116426 YI-TY AKPOS PES ODE 20251105;500,00;101.308,32
15.12.2025;001116426 YI-EC AKPOS PES ODE 20251105;3.265,00;100.808,32
15.12.2025;001116426 YI-DB AKPOS PES ODE 20251130;11.126,00;97.543,32
15.12.2025;001116426 AX-MC AKPOS PES ODE 20251105;355,00;86.417,32
15.12.2025;001116426 YI-VS AKPOS PES ODE 20251105;1.800,00;86.062,32
14.12.2025;001116426 YI-VS AKPOS PES ODE 20251104;28.000,00;84.262,32
14.12.2025;001116426 YI-TY AKPOS PES ODE 20251104;270,00;56.262,32
14.12.2025;001116426 YI-DB AKPOS PES ODE 20251129;455,00;55.992,32
14.12.2025;001116426 YI-EC AKPOS PES ODE 20251104;5.058,75;55.537,32
14.12.2025;001116426 YI-TD AKPOS PES ODE 20251129;684,00;50.478,57
13.12.2025;001116426 YI-TD AKPOS PES ODE 20251128;1.740,00;49.794,57
13.12.2025;001116426 YI-VS AKPOS PES ODE 20251103;2.410,00;48.054,57
13.12.2025;001116426 AX-TY AKPOS PES ODE 20251103;3.000,00;45.644,57
13.12.2025;001116426 YI-DB AKPOS PES ODE 20251128;2.284,77;42.644,57
12.12.2025;001116426 YI-DB AKPOS PES ODE 20251127;1.385,00;40.359,80
12.12.2025;001116426 YI-EC AKPOS PES ODE 20251102;425,00;38.974,80
12.12.2025;001116426 YI-VS AKPOS PES ODE 20251102;450,00;38.549,80
11.12.2025;001116426 YI-EC AKPOS PES ODE 20251101;1.440,00;38.099,80
11.12.2025;001116426 AK-DB AKPOS PES ODE 20251126;326,00;36.659,80
11.12.2025;001116426 AK-DT AKPOS PES ODE 20251126;1.508,00;36.333,80
11.12.2025;001116426 YI-TD AKPOS PES ODE 20251126;1.376,50;34.825,80
11.12.2025;001116426 YI-DB AKPOS PES ODE 20251101;960,00;33.449,30
11.12.2025;001116426 YI-VS AKPOS PES ODE 20251101;2.925,00;32.489,30
11.12.2025;001116426 AK-DT AKPOS PES ODE 20251101;1.382,00;29.564,30
11.12.2025;001116426 YI-TY AKPOS PES ODE 20251101;540,00;28.182,30
11.12.2025;001116426 YI-TD AKPOS PES ODE 20251101;535,00;27.642,30
11.12.2025;001116426 YI-DB AKPOS PES ODE 20251126;17.514,50;27.107,30
10.12.2025;001116426 AK-DB AKPOS PES ODE 20251125;182,00;9.592,80
10.12.2025;001116426 YI-DB AKPOS PES ODE 20251031;380,00;9.410,80
10.12.2025;001116426 YD-DB AKPOS PES ODE 20251110;175,00;9.030,80
10.12.2025;001116426 AX-TY AKPOS PES ODE 20251031;200,00;8.855,80
10.12.2025;001116426 YI-EC AKPOS PES ODE 20251031;3.995,00;8.655,80
10.12.2025;001116426 YI-DB AKPOS PES ODE 20251125;1.531,35;4.660,80
10.12.2025;001116426 YI-TD AKPOS PES ODE 20251125;1.030,21;3.129,45
10.12.2025;001116426 YI-VS AKPOS PES ODE 20251031;660,00;2.099,24
10.12.2025;001116426 YI-TY AKPOS PES ODE 20251031;1.360,00;1.439,24
09.12.2025;777/KÝÞ-EFT BSMV;-7,62;79,24
09.12.2025;777/KÝÞ-EFT KOMÝSYONU;-152,35;86,86
09.12.2025;777/KÝÞ-4874196-ALANYA ÖZKAN KIRTASÝYE LTD.-AKBANK TAN ALBARAKA HS EFT;-1.624.000,00;239,21
09.12.2025;001116426 YI-VS AKPOS PES ODE 20251030;7.800,00;1.624.239,21
09.12.2025;001116426 YI-DB AKPOS PES ODE 20251030;1.255,00;1.616.439,21
09.12.2025;001116426 YI-EC AKPOS PES ODE 20251030;3.850,00;1.615.184,21
09.12.2025;001116426 YI-TD AKPOS PES ODE 20251030;205,00;1.611.334,21
08.12.2025;001116426 YI-TD AKPOS PES ODE 20251029;75,00;1.611.129,21
08.12.2025;001116426 YI-TD AKPOS PES ODE 20251123;280,00;1.611.054,21
08.12.2025;001116426 YI-TY AKPOS PES ODE 20251029;5.254,40;1.610.774,21
08.12.2025;001116426 YI-DB AKPOS PES ODE 20251123;350,00;1.605.519,81
08.12.2025;001116426 YD-EC AKPOS PES ODE 20251108;264,00;1.605.169,81
08.12.2025;001116426 YI-EC AKPOS PES ODE 20251029;270,00;1.604.905,81
07.12.2025;001116426 YI-DB AKPOS PES ODE 20251028;460,00;1.604.635,81
07.12.2025;001116426 AK-DB AKPOS PES ODE 20251028;235,00;1.604.175,81
07.12.2025;001116426 YI-TY AKPOS PES ODE 20251028;15.000,00;1.603.940,81
07.12.2025;001116426 YI-DB AKPOS PES ODE 20251122;2.110,00;1.588.940,81
07.12.2025;001116426 YI-VS AKPOS PES ODE 20251028;150,00;1.586.830,81
07.12.2025;001116426 YI-EC AKPOS PES ODE 20251028;105,00;1.586.680,81
06.12.2025;001116426 YI-VS AKPOS PES ODE 20251027;325,00;1.586.575,81
06.12.2025;001116426 YI-DB AKPOS PES ODE 20251121;655,00;1.586.250,81
05.12.2025;001116426 YI-EC AKPOS PES ODE 20251026;915,00;1.585.595,81
05.12.2025;001116426 YI-VS AKPOS PES ODE 20251026;580,00;1.584.680,81
05.12.2025;001116426 YI-DB AKPOS PES ODE 20251026;1.020,00;1.584.100,81
05.12.2025;001116426 AK-DB AKPOS PES ODE 20251026;250,00;1.583.080,81
05.12.2025;001116426 YI-TD AKPOS PES ODE 20251120;750,00;1.582.830,81
05.12.2025;001116426 YI-DB AKPOS PES ODE 20251120;1.284,58;1.582.080,81
05.12.2025;001116426 AK-DB AKPOS PES ODE 20251120;50,00;1.580.796,23
04.12.2025;001116426 AX-VS AKPOS PES ODE 20251025;725,00;1.580.746,23
04.12.2025;001116426 YI-DB AKPOS PES ODE 20251025;2.600,00;1.580.021,23
04.12.2025;001116426 YI-EC AKPOS PES ODE 20251025;30.570,00;1.577.421,23
04.12.2025;001116426 YD-VS AKPOS PES ODE 20251104;710,00;1.546.851,23
04.12.2025;001116426 YI-DB AKPOS PES ODE 20251119;1.150,00;1.546.141,23
04.12.2025;001116426 YI-TY AKPOS PES ODE 20251025;555,00;1.544.991,23
04.12.2025;001116426 YI-TD AKPOS PES ODE 20251025;505,00;1.544.436,23
04.12.2025;001116426 AX-MC AKPOS PES ODE 20251025;505,00;1.543.931,23
04.12.2025;001116426 YI-VS AKPOS PES ODE 20251025;18.450,00;1.543.426,23
03.12.2025;001116426 YI-TD AKPOS PES ODE 20251024;250,00;1.524.976,23
03.12.2025;001116426 YI-VS AKPOS PES ODE 20251024;2.135,00;1.524.726,23
03.12.2025;001116426 YI-EC AKPOS PES ODE 20251024;2.200,00;1.522.591,23
03.12.2025;001116426 YI-DB AKPOS PES ODE 20251024;320,00;1.520.391,23
02.12.2025;001116426 AX-MC AKPOS PES ODE 20251023;630,00;1.520.071,23
02.12.2025;001116426 YI-TD AKPOS PES ODE 20251023;455,00;1.519.441,23
02.12.2025;001116426 YI-TY AKPOS PES ODE 20251023;450,00;1.518.986,23
02.12.2025;001116426 YI-DB AKPOS PES ODE 20251117;285,00;1.518.536,23
02.12.2025;001116426 YI-VS AKPOS PES ODE 20251023;1.000,00;1.518.251,23
02.12.2025;001116426 YI-DB AKPOS PES ODE 20251023;340,00;1.517.251,23
02.12.2025;001116426 YD-VS AKPOS PES ODE 20251102;310,00;1.516.911,23
02.12.2025;001116426 YI-EC AKPOS PES ODE 20251023;500,00;1.516.601,23
